day,end_tick,WNTR_end_pos,SMMR_end_pos,ATMN_end_pos,SPNG_end_pos,aggregate_at_close,aggregate_limit,over_limit_shares,estimated_penalty,nlv,pnl_from_start
1,59,2359.0,1043.0,1303.0,-181.0,4886.0,12000,0,0.00,4121.04,
2,119,647.0,2044.0,-1369.0,-282.0,4342.0,12000,0,0.00,6468.39,
3,179,2324.0,399.0,-2900.0,-1002.0,6625.0,12000,0,0.00,13022.43,
4,239,4967.0,2948.0,-3057.0,387.0,11359.0,12000,0,0.00,7418.20,
5,299,-2936.0,394.0,-2008.0,-973.0,6311.0,12000,0,0.00,18824.92,
