tick,second_in_day,day,ticker,position,position_change,unrealized_pnl,realized_pnl
0,0,1,SPNG,0,0,0.00,0.00
0,0,1,SMMR,0,0,0.00,0.00
0,0,1,ATMN,0,0,0.00,0.00
0,0,1,WNTR,0,0,0.00,0.00
1,1,1,SPNG,0,0,0.00,0.00
1,1,1,SMMR,0,0,0.00,0.00
1,1,1,ATMN,0,0,0.00,0.00
1,1,1,WNTR,0,0,0.00,0.00
2,2,1,SPNG,0,0,0.00,0.00
2,2,1,SMMR,0,0,0.00,0.00
2,2,1,ATMN,0,0,0.00,0.00
2,2,1,WNTR,0,0,0.00,0.00
3,3,1,SPNG,0,0,0.00,0.00
3,3,1,SMMR,0,0,0.00,0.00
3,3,1,ATMN,0,0,0.00,0.00
3,3,1,WNTR,0,0,0.00,0.00
4,4,1,SPNG,0,0,0.00,0.00
4,4,1,SMMR,0,0,0.00,0.00
4,4,1,ATMN,0,0,0.00,0.00
4,4,1,WNTR,0,0,0.00,0.00
5,5,1,SPNG,0,0,0.00,0.00
5,5,1,SMMR,0,0,0.00,0.00
5,5,1,ATMN,0,0,0.00,0.00
5,5,1,WNTR,0,0,0.00,0.00
6,6,1,SPNG,0,0,0.00,0.00
6,6,1,SMMR,0,0,0.00,183.60
6,6,1,ATMN,0,0,0.00,0.00
6,6,1,WNTR,-2500.0,-2500.0,-284.00,86.50
7,7,1,SPNG,560.0,560.0,-74.40,5.60
7,7,1,SMMR,0,0,0.00,183.60
7,7,1,ATMN,-840.0,-840.0,-150.00,12.60
7,7,1,WNTR,-2500.0,0.0,-234.00,86.50
8,8,1,SPNG,560.0,0.0,-35.20,5.60
8,8,1,SMMR,360.0,360.0,-8.74,168.94
8,8,1,ATMN,0,840.0,0.00,103.20
8,8,1,WNTR,-876.0,1624.0,-81.99,33.09
9,9,1,SPNG,400.0,-160.0,-20.00,49.60
9,9,1,SMMR,1260.0,900.0,-26.74,186.94
9,9,1,ATMN,1440.0,1440.0,-445.20,124.80
9,9,1,WNTR,1444.0,2320.0,-43.32,35.38
10,10,1,SPNG,-160.0,-560.0,-16.00,63.20
10,10,1,SMMR,900.0,-360.0,178.90,208.10
10,10,1,ATMN,840.0,-600.0,-244.30,-25.10
10,10,1,WNTR,-3356.0,-4800.0,28.00,29.38
11,11,1,SPNG,-720.0,-560.0,-60.00,64.00
11,11,1,SMMR,2160.0,1260.0,-263.90,233.30
11,11,1,ATMN,840.0,0.0,-9.10,-25.10
11,11,1,WNTR,-3356.0,0.0,-39.12,29.38
12,12,1,SPNG,-720.0,0.0,-60.00,64.00
12,12,1,SMMR,2160.0,0.0,-149.56,280.96
12,12,1,ATMN,0,-840.0,0.00,36.00
12,12,1,WNTR,44.0,3400.0,-7.48,151.65
13,13,1,SPNG,-160.0,560.0,-3.73,66.13
13,13,1,SMMR,3267.0,1107.0,-279.70,258.82
13,13,1,ATMN,0,0,0.00,36.00
13,13,1,WNTR,44.0,0.0,-3.96,151.65
14,14,1,SPNG,-720.0,-560.0,-66.13,71.73
14,14,1,SMMR,1744.0,-1523.0,147.17,291.60
14,14,1,ATMN,-240.0,-240.0,4.46,47.74
14,14,1,WNTR,-956.0,-1000.0,-19.12,174.01
15,15,1,SPNG,-160.0,560.0,-8.30,67.50
15,15,1,SMMR,3004.0,1260.0,-262.71,266.40
15,15,1,ATMN,0,240.0,0.00,63.00
15,15,1,WNTR,-3756.0,-2800.0,-161.36,244.01
16,16,1,SPNG,-1280.0,-1120.0,-289.90,78.70
16,16,1,SMMR,3004.0,0.0,-262.71,266.40
16,16,1,ATMN,-600.0,-600.0,0.00,72.00
16,16,1,WNTR,-3756.0,0.0,-161.36,244.01
17,17,1,SPNG,-720.0,560.0,2.53,111.07
17,17,1,SMMR,2402.0,-602.0,-158.35,265.09
17,17,1,ATMN,240.0,840.0,-7.20,126.60
17,17,1,WNTR,-5966.0,-2210.0,-371.59,299.26
18,18,1,SPNG,-1120.0,-400.0,-155.87,115.07
18,18,1,SMMR,1862.0,-540.0,146.64,346.78
18,18,1,ATMN,240.0,0.0,4.80,126.60
18,18,1,WNTR,-3863.0,2103.0,-225.58,208.15
19,19,1,SPNG,-649.0,471.0,34.07,113.22
19,19,1,SMMR,2762.0,900.0,54.16,364.78
19,19,1,ATMN,240.0,0.0,4.80,126.60
19,19,1,WNTR,-4569.0,-706.0,-246.76,194.03
20,20,1,SPNG,-560.0,89.0,-40.57,152.57
20,20,1,SMMR,3522.0,760.0,-23.88,379.98
20,20,1,ATMN,480.0,240.0,-11.20,182.20
20,20,1,WNTR,-4569.0,0.0,-201.07,194.03
21,21,1,SPNG,-560.0,0.0,26.63,152.57
21,21,1,SMMR,3005.0,-517.0,11.42,540.60
21,21,1,ATMN,480.0,0.0,22.40,182.20
21,21,1,WNTR,-6057.0,-1488.0,-367.90,231.23
22,22,1,SPNG,-560.0,0.0,54.63,152.57
22,22,1,SMMR,3005.0,0.0,402.07,540.60
22,22,1,ATMN,-360.0,-840.0,-7.20,246.00
22,22,1,WNTR,-2172.0,3885.0,-110.21,220.03
23,23,1,SPNG,-1120.0,-560.0,-70.17,158.17
23,23,1,SMMR,2550.0,-455.0,231.29,637.70
23,23,1,ATMN,-360.0,0.0,0.00,338.40
23,23,1,WNTR,1017.0,3189.0,-113.99,276.43
24,24,1,SPNG,-560.0,560.0,121.72,198.28
24,24,1,SMMR,3629.0,1079.0,-400.37,646.96
24,24,1,ATMN,-360.0,0.0,0.00,338.40
24,24,1,WNTR,-983.0,-2000.0,-19.66,273.46
25,25,1,SPNG,-560.0,0.0,121.72,198.28
25,25,1,SMMR,3629.0,0.0,-291.50,646.96
25,25,1,ATMN,-600.0,-240.0,-6.62,406.22
25,25,1,WNTR,-1783.0,-800.0,-1.83,293.46
26,26,1,SPNG,-720.0,-160.0,-75.01,194.21
26,26,1,SMMR,3080.0,-549.0,-4.25,664.28
26,26,1,ATMN,240.0,840.0,-16.80,454.20
26,26,1,WNTR,-6663.0,-4880.0,-500.13,415.46
27,27,1,SPNG,-720.0,0.0,-25.09,255.49
27,27,1,SMMR,4083.0,1003.0,-526.46,684.34
27,27,1,ATMN,-1440.0,-1680.0,-220.80,484.20
27,27,1,WNTR,-3043.0,3620.0,136.75,570.38
28,28,1,SPNG,-320.0,400.0,36.85,345.55
28,28,1,SMMR,2494.0,-1589.0,2.64,654.25
28,28,1,ATMN,-1440.0,0.0,-220.80,484.20
28,28,1,WNTR,-5365.0,-2322.0,-661.37,628.43
29,29,1,SPNG,-160.0,160.0,18.42,389.58
29,29,1,SMMR,2494.0,0.0,27.58,654.25
29,29,1,ATMN,1080.0,2520.0,-447.60,305.40
29,29,1,WNTR,-3485.0,1880.0,-220.51,580.64
30,30,1,SPNG,-720.0,-560.0,-51.98,395.18
30,30,1,SMMR,3577.0,1083.0,-249.31,675.91
30,30,1,ATMN,240.0,-840.0,22.93,269.87
30,30,1,WNTR,-3485.0,0.0,-325.06,580.64
31,31,1,SPNG,-880.0,-160.0,-107.23,380.03
31,31,1,SMMR,3577.0,0.0,-106.23,675.91
31,31,1,ATMN,1080.0,840.0,-495.47,282.47
31,31,1,WNTR,-2313.0,1172.0,-22.39,525.45
32,32,1,SPNG,-1440.0,-560.0,-26.43,385.63
32,32,1,SMMR,923.0,-2654.0,101.81,939.91
32,32,1,ATMN,1080.0,0.0,-182.27,282.47
32,32,1,WNTR,-706.0,1607.0,127.31,726.83
33,33,1,SPNG,-1440.0,0.0,-26.43,385.63
33,33,1,SMMR,1929.0,1006.0,-161.68,960.03
33,33,1,ATMN,240.0,-840.0,-23.70,227.70
33,33,1,WNTR,-352.0,354.0,39.45,902.04
34,34,1,SPNG,-880.0,560.0,-16.15,440.95
34,34,1,SMMR,514.0,-1415.0,-27.66,924.30
34,34,1,ATMN,240.0,0.0,-7.20,310.80
34,34,1,WNTR,2448.0,2800.0,-65.44,1025.57
35,35,1,SPNG,-880.0,0.0,124.65,440.95
35,35,1,SMMR,-901.0,-1415.0,-96.00,950.64
35,35,1,ATMN,240.0,0.0,-31.20,430.80
35,35,1,WNTR,2448.0,0.0,-89.92,1025.57
36,36,1,SPNG,-880.0,0.0,124.65,440.95
36,36,1,SMMR,-3421.0,-2520.0,-326.42,1001.04
36,36,1,ATMN,240.0,0.0,-31.20,430.80
36,36,1,WNTR,830.0,-1618.0,-13.89,1048.19
37,37,1,SPNG,-1840.0,-960.0,-100.15,450.55
37,37,1,SMMR,-4321.0,-900.0,-310.21,1019.04
37,37,1,ATMN,240.0,0.0,-33.60,447.00
37,37,1,WNTR,830.0,0.0,32.90,1168.30
38,38,1,SPNG,-1280.0,560.0,-69.67,500.87
38,38,1,SMMR,-4321.0,0.0,-353.42,1019.04
38,38,1,ATMN,-600.0,-840.0,-97.20,489.60
38,38,1,WNTR,-570.0,-1400.0,-31.90,1261.10
39,39,1,SPNG,-1840.0,-560.0,-252.82,541.62
39,39,1,SMMR,-6358.0,-2037.0,-347.60,1059.78
39,39,1,ATMN,240.0,840.0,-62.40,447.00
39,39,1,WNTR,2230.0,2800.0,-371.10,1310.60
40,40,1,SPNG,-1199.0,641.0,194.96,633.02
40,40,1,SMMR,-3287.0,3071.0,379.09,1062.97
40,40,1,ATMN,-600.0,-840.0,-9.60,417.00
40,40,1,WNTR,3105.0,875.0,-254.80,1332.47
41,41,1,SPNG,-1199.0,0.0,-92.80,633.02
41,41,1,SMMR,-4314.0,-1027.0,-66.12,1083.51
41,41,1,ATMN,0,600.0,0.00,488.40
41,41,1,WNTR,3105.0,0.0,-285.85,1332.47
42,42,1,SPNG,-1759.0,-560.0,-88.06,621.82
42,42,1,SMMR,-4314.0,0.0,63.30,1083.51
42,42,1,ATMN,0,0,0.00,488.40
42,42,1,WNTR,1428.0,-1677.0,-45.78,1263.13
43,43,1,SPNG,-1961.0,-202.0,-343.82,676.78
43,43,1,SMMR,-2707.0,1607.0,39.72,1244.83
43,43,1,ATMN,-1440.0,-1440.0,-92.40,510.00
43,43,1,WNTR,1428.0,0.0,-45.78,1263.13
44,44,1,SPNG,-1463.0,498.0,-0.46,855.15
44,44,1,SMMR,-2707.0,0.0,256.28,1244.83
44,44,1,ATMN,-240.0,1200.0,18.00,601.80
44,44,1,WNTR,2828.0,1400.0,-193.46,1298.13
45,45,1,SPNG,-1161.0,302.0,14.02,965.14
45,45,1,SMMR,-175.0,2532.0,20.07,1672.33
45,45,1,ATMN,-240.0,0.0,20.40,601.80
45,45,1,WNTR,4005.0,1177.0,-398.76,1327.56
46,46,1,SPNG,-1699.0,-538.0,-0.46,970.52
46,46,1,SMMR,-938.0,-763.0,1.31,1687.59
46,46,1,ATMN,600.0,840.0,-42.00,605.40
46,46,1,WNTR,2353.0,-1652.0,-304.87,1374.29
47,47,1,SPNG,-1859.0,-160.0,-56.23,972.12
47,47,1,SMMR,-1243.0,-305.0,-110.56,1693.69
47,47,1,ATMN,600.0,0.0,24.00,605.40
47,47,1,WNTR,2353.0,0.0,-46.04,1374.29
48,48,1,SPNG,-1859.0,0.0,55.31,972.12
48,48,1,SMMR,-1243.0,0.0,-110.56,1693.69
48,48,1,ATMN,-240.0,-840.0,-2.40,702.00
48,48,1,WNTR,2353.0,0.0,-398.99,1374.29
49,49,1,SPNG,-1859.0,0.0,55.31,972.12
49,49,1,SMMR,-1243.0,0.0,-210.00,1693.69
49,49,1,ATMN,-240.0,0.0,0.00,702.00
49,49,1,WNTR,2353.0,0.0,-398.99,1374.29
50,50,1,SPNG,-1459.0,400.0,43.41,1040.02
50,50,1,SMMR,-1243.0,0.0,-147.85,1693.69
50,50,1,ATMN,-240.0,0.0,-33.60,702.00
50,50,1,WNTR,2353.0,0.0,48.08,1374.29
51,51,1,SPNG,-1459.0,0.0,-14.95,1040.02
51,51,1,SMMR,-1243.0,0.0,-210.00,1693.69
51,51,1,ATMN,-240.0,0.0,7.20,702.00
51,51,1,WNTR,2353.0,0.0,-140.16,1374.29
52,52,1,SPNG,-1459.0,0.0,-14.95,1040.02
52,52,1,SMMR,-1243.0,0.0,-147.85,1693.69
52,52,1,ATMN,-240.0,0.0,12.00,702.00
52,52,1,WNTR,2353.0,0.0,-46.04,1374.29
53,53,1,SPNG,-1459.0,0.0,58.00,1040.02
53,53,1,SMMR,-1243.0,0.0,-147.85,1693.69
53,53,1,ATMN,-240.0,0.0,-31.20,702.00
53,53,1,WNTR,2353.0,0.0,-446.05,1374.29
