tick,second_in_day,day,ticker,position,position_change,unrealized_pnl,realized_pnl
2,2,1,SPNG,0,0,0.00,0.00
2,2,1,SMMR,0,0,0.00,0.00
2,2,1,ATMN,0,0,0.00,0.00
2,2,1,WNTR,0,0,0.00,0.00
3,3,1,SPNG,0,0,0.00,0.00
3,3,1,SMMR,0,0,0.00,0.00
3,3,1,ATMN,0,0,0.00,0.00
3,3,1,WNTR,0,0,0.00,0.00
4,4,1,SPNG,0,0,0.00,0.00
4,4,1,SMMR,0,0,0.00,0.00
4,4,1,ATMN,0,0,0.00,0.00
4,4,1,WNTR,0,0,0.00,0.00
5,5,1,SPNG,0,0,0.00,0.00
5,5,1,SMMR,0,0,0.00,0.00
5,5,1,ATMN,0,0,0.00,0.00
5,5,1,WNTR,0,0,0.00,0.00
6,6,1,SPNG,0,0,0.00,0.00
6,6,1,SMMR,0,0,0.00,0.00
6,6,1,ATMN,0,0,0.00,0.00
6,6,1,WNTR,2800.0,2800.0,-384.00,70.00
7,7,1,SPNG,-560.0,-560.0,-24.00,5.60
7,7,1,SMMR,0,0,0.00,0.00
7,7,1,ATMN,-840.0,-840.0,-175.20,12.60
7,7,1,WNTR,1150.0,-1650.0,-134.71,-125.67
8,8,1,SPNG,-560.0,0.0,-24.00,5.60
8,8,1,SMMR,-2520.0,-2520.0,-136.80,50.40
8,8,1,ATMN,-240.0,600.0,0.34,4.46
8,8,1,WNTR,2150.0,1000.0,-28.21,-100.67
9,9,1,SPNG,-1120.0,-560.0,-87.20,11.20
9,9,1,SMMR,-4683.0,-2163.0,-158.43,7.14
9,9,1,ATMN,-240.0,0.0,0.34,4.46
9,9,1,WNTR,2150.0,0.0,-49.71,-100.67
10,10,1,SPNG,-1120.0,0.0,-120.80,11.20
10,10,1,SMMR,-1757.0,2926.0,-59.44,129.69
10,10,1,ATMN,-240.0,0.0,2.74,4.46
10,10,1,WNTR,2150.0,0.0,-71.21,-100.67
11,11,1,SPNG,-1520.0,-400.0,-212.00,15.20
11,11,1,SMMR,763.0,2520.0,-69.10,173.36
11,11,1,ATMN,-240.0,0.0,2.74,4.46
11,11,1,WNTR,2150.0,0.0,-71.21,-100.67
12,12,1,SPNG,-1120.0,400.0,-122.61,-4.59
12,12,1,SMMR,763.0,0.0,-69.10,173.36
12,12,1,ATMN,600.0,840.0,-64.80,31.80
12,12,1,WNTR,3380.0,1230.0,-177.89,-85.72
13,13,1,SPNG,-1120.0,0.0,-122.61,-4.59
13,13,1,SMMR,763.0,0.0,-53.84,173.36
13,13,1,ATMN,600.0,0.0,-40.80,31.80
13,13,1,WNTR,1788.0,-1592.0,-147.75,-9.16
14,14,1,SPNG,-1619.0,-499.0,-211.23,0.40
14,14,1,SMMR,763.0,0.0,-53.84,173.36
14,14,1,ATMN,600.0,0.0,-40.80,31.80
14,14,1,WNTR,388.0,-1400.0,-32.06,-53.85
15,15,1,SPNG,-1219.0,400.0,-24.95,-7.79
15,15,1,SMMR,-3557.0,-4320.0,50.40,228.81
15,15,1,ATMN,-240.0,-840.0,0.00,15.60
15,15,1,WNTR,-1012.0,-1400.0,-40.48,-82.87
16,16,1,SPNG,-588.0,631.0,-12.04,38.78
16,16,1,SMMR,-2068.0,1489.0,-333.95,-3.05
16,16,1,ATMN,600.0,840.0,21.60,45.00
16,16,1,WNTR,388.0,1400.0,-23.28,-47.63
17,17,1,SPNG,-1148.0,-560.0,-106.28,27.58
17,17,1,SMMR,1668.0,3736.0,-127.19,-96.68
17,17,1,ATMN,600.0,0.0,21.60,45.00
17,17,1,WNTR,-2412.0,-2800.0,-136.72,26.25
18,18,1,SPNG,-348.0,800.0,-32.22,9.52
18,18,1,SMMR,1668.0,0.0,-127.19,-96.68
18,18,1,ATMN,2880.0,2280.0,-285.60,37.20
18,18,1,WNTR,-104.0,2308.0,6.58,91.61
19,19,1,SPNG,-1868.0,-1520.0,-156.06,12.72
19,19,1,SMMR,408.0,-1260.0,-35.19,-88.36
19,19,1,ATMN,870.0,-2010.0,18.12,-60.20
19,19,1,WNTR,364.0,468.0,-14.56,127.50
20,20,1,SPNG,-1868.0,0.0,-174.74,12.72
20,20,1,SMMR,1668.0,1260.0,-158.07,-63.16
20,20,1,ATMN,870.0,0.0,18.12,-60.20
20,20,1,WNTR,-2436.0,-2800.0,-235.60,208.43
21,21,1,SPNG,-1868.0,0.0,30.74,12.72
21,21,1,SMMR,1668.0,0.0,-108.03,-63.16
21,21,1,ATMN,870.0,0.0,18.12,-60.20
21,21,1,WNTR,-125.0,2311.0,-3.34,100.46
22,22,1,SPNG,-1868.0,0.0,30.74,12.72
22,22,1,SMMR,1308.0,-360.0,-53.42,-18.77
22,22,1,ATMN,870.0,0.0,18.12,-60.20
22,22,1,WNTR,-125.0,0.0,-3.34,100.46
23,23,1,SPNG,-1226.0,642.0,56.96,79.20
23,23,1,SMMR,-160.0,-1468.0,0.00,81.73
23,23,1,ATMN,30.0,-840.0,1.82,19.11
23,23,1,WNTR,-2925.0,-2800.0,-318.34,170.46
24,24,1,SPNG,-1573.0,-347.0,221.20,82.67
