tick,second_in_day,day,aggregate_position,gross_limit,net_limit,utilization_pct,net_position,nlv,pnl_estimate
5,5,1,0,50000,30000,0.0000,0,0.00,
10,10,1,15142.0,50000,30000,0.3028,13602.0,1232.88,
15,15,1,22769.0,50000,30000,0.4554,4195.0,-566.83,
20,20,1,12088.0,50000,30000,0.2418,270.0,-11571.64,
25,25,1,21711.0,50000,30000,0.4342,21711.0,-9999.05,
30,30,1,22061.0,50000,30000,0.4412,15869.0,-25510.28,
35,35,1,20131.0,50000,30000,0.4026,20131.0,-23475.58,
40,40,1,2473.0,50000,30000,0.0495,2473.0,-23536.35,
45,45,1,2481.0,50000,30000,0.0496,2481.0,-23373.28,
50,50,1,2481.0,50000,30000,0.0496,2481.0,-23943.92,
55,55,1,2481.0,50000,30000,0.0496,2481.0,-23398.10,
60,0,2,2481.0,11000,30000,0.2255,2481.0,-23001.13,
65,5,2,2481.0,50000,30000,0.0496,2481.0,-23125.19,
70,10,2,8943.0,50000,30000,0.1789,8943.0,-27230.85,
75,15,2,14758.0,50000,30000,0.2952,4832.0,-27095.28,
80,20,2,5729.0,50000,30000,0.1146,2475.0,-27227.71,
85,25,2,11150.0,50000,30000,0.2230,3392.0,-26532.69,
90,30,2,10270.0,50000,30000,0.2054,9802.0,-24306.26,
95,35,2,31776.0,50000,30000,0.6355,9124.0,-26129.76,
100,40,2,6043.0,50000,30000,0.1209,1143.0,-24801.75,
105,45,2,3593.0,50000,30000,0.0719,3593.0,-23792.43,
110,50,2,3593.0,50000,30000,0.0719,3593.0,-24439.17,
115,55,2,3593.0,50000,30000,0.0719,3593.0,-25588.93,
120,0,3,3593.0,11000,30000,0.3266,3593.0,-23684.64,
125,5,3,3593.0,50000,30000,0.0719,3593.0,-21097.68,
130,10,3,14089.0,50000,30000,0.2818,7165.0,-22954.15,
135,15,3,6999.0,50000,30000,0.1400,2487.0,-19983.39,
140,20,3,18164.0,50000,30000,0.3633,15788.0,-22677.80,
145,25,3,12789.0,50000,30000,0.2558,255.0,-18471.78,
150,30,3,8693.0,50000,30000,0.1739,525.0,-15904.99,
155,35,3,13604.0,50000,30000,0.2721,1102.0,-15830.95,
160,40,3,1758.0,50000,30000,0.0352,1092.0,-13426.62,
165,45,3,683.0,50000,30000,0.0137,17.0,-13318.15,
170,50,3,683.0,50000,30000,0.0137,17.0,-13378.94,
175,55,3,683.0,50000,30000,0.0137,17.0,-13246.21,
180,0,4,683.0,11000,30000,0.0621,17.0,-12614.36,
185,5,4,683.0,50000,30000,0.0137,17.0,-12936.80,
190,10,4,6047.0,50000,30000,0.1209,4421.0,-11255.69,
195,15,4,4554.0,50000,30000,0.0911,1992.0,-11509.02,
200,20,4,3805.0,50000,30000,0.0761,3395.0,-12074.42,
205,25,4,15480.0,50000,30000,0.3096,14712.0,-16193.64,
210,30,4,9421.0,50000,30000,0.1884,799.0,-13696.26,
215,35,4,15704.0,50000,30000,0.3141,9338.0,-14143.40,
220,40,4,8706.0,50000,30000,0.1741,888.0,-13090.93,
225,45,4,7699.0,50000,30000,0.1540,3723.0,-12971.58,
230,50,4,7699.0,50000,30000,0.1540,3723.0,-13149.45,
235,55,4,7699.0,50000,30000,0.1540,3723.0,-12495.08,
240,0,5,7699.0,11000,30000,0.6999,3723.0,-16832.58,
245,5,5,7699.0,50000,30000,0.1540,3723.0,-26508.62,
250,10,5,9035.0,50000,30000,0.1807,7845.0,-26333.17,
255,15,5,18456.0,50000,30000,0.3691,11678.0,-26467.10,
260,20,5,5691.0,50000,30000,0.1138,1493.0,-26649.22,
265,25,5,12125.0,50000,30000,0.2425,8465.0,-26864.58,
270,30,5,21759.0,50000,30000,0.4352,8663.0,-25588.02,
275,35,5,10136.0,50000,30000,0.2027,9368.0,-24655.83,
280,40,5,2314.0,50000,30000,0.0463,2314.0,-21233.24,
285,45,5,2314.0,50000,30000,0.0463,2314.0,-22297.68,
290,50,5,2314.0,50000,30000,0.0463,2314.0,-22320.82,
295,55,5,2314.0,50000,30000,0.0463,2314.0,-21348.94,
300,0,6,2314.0,11000,30000,0.2104,2314.0,-20978.70,
