tick,second_in_day,day,ticker,position,position_change,unrealized_pnl,realized_pnl
167,47,3,SPNG,-871.0,-871.0,104.52,4026.84
167,47,3,SMMR,-3023.0,-3023.0,-256.77,2271.88
167,47,3,ATMN,-1958.0,-1958.0,-811.48,2031.09
167,47,3,WNTR,1142.0,1142.0,-220.40,6169.27
168,48,3,SPNG,-871.0,0.0,104.52,4026.84
168,48,3,SMMR,-3023.0,0.0,-256.77,2271.88
168,48,3,ATMN,-1958.0,0.0,-537.36,2031.09
168,48,3,WNTR,1142.0,0.0,-174.72,6169.27
169,49,3,SPNG,249.0,1120.0,-22.41,4318.89
169,49,3,SMMR,-3023.0,0.0,-75.39,2271.88
169,49,3,ATMN,-1958.0,0.0,-537.36,2031.09
169,49,3,WNTR,1142.0,0.0,-174.72,6169.27
170,50,3,SPNG,249.0,0.0,-22.41,4318.89
170,50,3,SMMR,-3023.0,0.0,-75.39,2271.88
170,50,3,ATMN,-278.0,1680.0,-81.86,2176.03
170,50,3,WNTR,1142.0,0.0,65.10,6169.27
171,51,3,SPNG,249.0,0.0,77.19,4318.89
171,51,3,SMMR,-3023.0,0.0,75.76,2271.88
171,51,3,ATMN,-278.0,0.0,-112.44,2176.03
171,51,3,WNTR,1142.0,0.0,65.10,6169.27
172,52,3,SPNG,249.0,0.0,-22.41,4318.89
172,52,3,SMMR,-3023.0,0.0,-75.39,2271.88
172,52,3,ATMN,-278.0,0.0,-112.44,2176.03
172,52,3,WNTR,1142.0,0.0,-26.26,6169.27
173,53,3,SPNG,249.0,0.0,-22.41,4318.89
173,53,3,SMMR,-3023.0,0.0,-377.69,2271.88
173,53,3,ATMN,-278.0,0.0,-87.42,2176.03
173,53,3,WNTR,1142.0,0.0,-117.62,6169.27
174,54,3,SPNG,249.0,0.0,-22.41,4318.89
174,54,3,SMMR,-3023.0,0.0,75.76,2271.88
174,54,3,ATMN,-278.0,0.0,-84.64,2176.03
174,54,3,WNTR,1142.0,0.0,-186.14,6169.27
175,55,3,SPNG,249.0,0.0,0.00,4318.89
175,55,3,SMMR,-3023.0,0.0,-287.00,2271.88
175,55,3,ATMN,-278.0,0.0,-65.18,2176.03
175,55,3,WNTR,1142.0,0.0,-220.40,6169.27
176,56,3,SPNG,249.0,0.0,0.00,4318.89
176,56,3,SMMR,-3023.0,0.0,105.99,2271.88
176,56,3,ATMN,-278.0,0.0,-112.44,2176.03
176,56,3,WNTR,1142.0,0.0,-197.56,6169.27
177,57,3,SPNG,249.0,0.0,-19.92,4318.89
177,57,3,SMMR,-3023.0,0.0,75.76,2271.88
177,57,3,ATMN,-278.0,0.0,-109.66,2176.03
177,57,3,WNTR,1142.0,0.0,-254.66,6169.27
178,58,3,SPNG,249.0,0.0,-19.92,4318.89
178,58,3,SMMR,-3023.0,0.0,75.76,2271.88
178,58,3,ATMN,-278.0,0.0,-115.22,2176.03
178,58,3,WNTR,1142.0,0.0,-186.14,6169.27
179,59,3,SPNG,249.0,0.0,2.49,4318.89
179,59,3,SMMR,-3023.0,0.0,75.76,2271.88
179,59,3,ATMN,-278.0,0.0,-115.22,2176.03
179,59,3,WNTR,1142.0,0.0,-117.62,6169.27
180,0,4,SPNG,249.0,0.0,500.49,4318.89
180,0,4,SMMR,-3023.0,0.0,378.06,2271.88
180,0,4,ATMN,-278.0,0.0,-140.24,2176.03
180,0,4,WNTR,1142.0,0.0,-186.14,6169.27
181,1,4,SPNG,249.0,0.0,500.49,4318.89
181,1,4,SMMR,-3023.0,0.0,-1254.36,2271.88
181,1,4,ATMN,-278.0,0.0,-195.84,2176.03
181,1,4,WNTR,1142.0,0.0,-1408.08,6169.27
182,2,4,SPNG,249.0,0.0,500.49,4318.89
182,2,4,SMMR,-3023.0,0.0,-1012.52,2271.88
