tick,second_in_day,day,aggregate_position,gross_limit,net_limit,utilization_pct,net_position,nlv,pnl_estimate
5,5,1,0,50000,30000,0.0000,0,0.00,
10,10,1,2939.0,50000,30000,0.0588,941.0,500.34,
15,15,1,4029.0,50000,30000,0.0806,461.0,871.26,
20,20,1,8333.0,50000,30000,0.1667,3407.0,1432.46,
25,25,1,9593.0,50000,30000,0.1919,111.0,1131.51,
30,30,1,3183.0,50000,30000,0.0637,493.0,1892.30,
35,35,1,6697.0,50000,30000,0.1339,585.0,2168.84,
40,40,1,4979.0,50000,30000,0.0996,4617.0,3229.43,
45,45,1,6652.0,50000,30000,0.1330,6290.0,4218.72,
50,50,1,4886.0,50000,30000,0.0977,4524.0,4402.62,
55,55,1,4886.0,50000,30000,0.0977,4524.0,4337.00,
60,0,2,4886.0,12000,30000,0.4072,4524.0,1931.14,
65,5,2,4886.0,50000,30000,0.0977,4524.0,2028.16,
70,10,2,2615.0,50000,30000,0.0523,2615.0,2334.51,
75,15,2,2212.0,50000,30000,0.0442,1126.0,3270.76,
80,20,2,6840.0,50000,30000,0.1368,2356.0,3576.31,
85,25,2,2143.0,50000,30000,0.0429,2143.0,4388.73,
90,30,2,6757.0,50000,30000,0.1351,2975.0,4327.93,
95,35,2,12494.0,50000,30000,0.2499,12494.0,4697.09,
100,40,2,8232.0,50000,30000,0.1646,4500.0,5421.03,
105,45,2,6167.0,50000,30000,0.1233,4803.0,5863.05,
110,50,2,4342.0,50000,30000,0.0868,1040.0,6056.44,
115,55,2,4342.0,50000,30000,0.0868,1040.0,6268.16,
120,0,3,4342.0,12000,30000,0.3618,1040.0,10150.19,
125,5,3,4342.0,50000,30000,0.0868,1040.0,10804.92,
130,10,3,9168.0,50000,30000,0.1834,2458.0,10036.67,
135,15,3,6730.0,50000,30000,0.1346,1172.0,10017.06,
140,20,3,6918.0,50000,30000,0.1384,908.0,9548.78,
145,25,3,3046.0,50000,30000,0.0609,1720.0,10059.99,
150,30,3,6164.0,50000,30000,0.1233,2702.0,10451.92,
155,35,3,6734.0,50000,30000,0.1347,2592.0,11096.59,
160,40,3,5861.0,50000,30000,0.1172,1387.0,11644.15,
165,45,3,10137.0,50000,30000,0.2027,1359.0,11256.95,
170,50,3,6625.0,50000,30000,0.1325,1179.0,12598.81,
175,55,3,6625.0,50000,30000,0.1325,1179.0,12238.88,
180,0,4,6625.0,12000,30000,0.5521,1179.0,6512.30,
185,5,4,6625.0,50000,30000,0.1325,1179.0,6567.40,
190,10,4,3644.0,50000,30000,0.0729,560.0,7025.48,
195,15,4,3496.0,50000,30000,0.0699,3260.0,7454.10,
200,20,4,3212.0,50000,30000,0.0642,2018.0,7878.94,
205,25,4,2384.0,50000,30000,0.0477,324.0,8103.97,
210,30,4,7300.0,50000,30000,0.1460,5456.0,8751.28,
215,35,4,6803.0,50000,30000,0.1361,5439.0,8279.89,
220,40,4,8056.0,50000,30000,0.1611,234.0,8625.42,
225,45,4,10328.0,50000,30000,0.2066,2530.0,8963.58,
230,50,4,11359.0,50000,30000,0.2272,5245.0,8268.66,
235,55,4,11359.0,50000,30000,0.2272,5245.0,8186.64,
240,0,5,11359.0,12000,30000,0.9466,5245.0,17951.44,
245,5,5,11359.0,50000,30000,0.2272,5245.0,16533.72,
250,10,5,12080.0,50000,30000,0.2416,4950.0,14838.75,
255,15,5,6252.0,50000,30000,0.1250,540.0,14600.90,
260,20,5,5823.0,50000,30000,0.1165,1239.0,15251.17,
265,25,5,8138.0,50000,30000,0.1628,2170.0,16187.72,
270,30,5,7281.0,50000,30000,0.1456,787.0,16577.56,
275,35,5,5743.0,50000,30000,0.1149,1567.0,17014.44,
280,40,5,8329.0,50000,30000,0.1666,5307.0,17662.54,
285,45,5,7845.0,50000,30000,0.1569,267.0,18209.21,
290,50,5,6311.0,50000,30000,0.1262,5523.0,19281.85,
295,55,5,6311.0,50000,30000,0.1262,5523.0,19101.51,
300,0,6,0,12000,30000,0.0000,0,19072.35,
