tick,second_in_day,day,ticker,position,position_change,unrealized_pnl,realized_pnl
1,1,1,SPNG,0,0,0.00,0.00
1,1,1,SMMR,0,0,0.00,0.00
1,1,1,ATMN,0,0,0.00,0.00
1,1,1,WNTR,0,0,0.00,0.00
2,2,1,SPNG,0,0,0.00,0.00
2,2,1,SMMR,0,0,0.00,0.00
2,2,1,ATMN,0,0,0.00,0.00
2,2,1,WNTR,0,0,0.00,0.00
3,3,1,SPNG,0,0,0.00,0.00
3,3,1,SMMR,0,0,0.00,0.00
3,3,1,ATMN,0,0,0.00,0.00
3,3,1,WNTR,0,0,0.00,0.00
4,4,1,SPNG,0,0,0.00,0.00
4,4,1,SMMR,0,0,0.00,0.00
4,4,1,ATMN,0,0,0.00,0.00
4,4,1,WNTR,0,0,0.00,0.00
5,5,1,SPNG,0,0,0.00,0.00
5,5,1,SMMR,0,0,0.00,0.00
5,5,1,ATMN,0,0,0.00,0.00
5,5,1,WNTR,0,0,0.00,0.00
6,6,1,SPNG,0,0,0.00,0.00
6,6,1,SMMR,-4500.0,-4500.0,-45.00,90.00
6,6,1,ATMN,0,0,0.00,0.00
6,6,1,WNTR,-8000.0,-8000.0,-130.00,200.00
7,7,1,SPNG,0,0,0.00,0.00
7,7,1,SMMR,0,4500.0,0.00,792.00
7,7,1,ATMN,-3000.0,-3000.0,-1041.00,45.00
7,7,1,WNTR,2000.0,10000.0,-40.00,670.00
8,8,1,SPNG,0,0,0.00,0.00
8,8,1,SMMR,-3600.0,-3600.0,-189.00,864.00
8,8,1,ATMN,-1115.0,1885.0,-308.86,-467.72
8,8,1,WNTR,-2559.0,-4559.0,-207.11,1481.97
9,9,1,SPNG,-2000.0,-2000.0,0.00,20.00
9,9,1,SMMR,-3600.0,0.0,-117.00,864.00
9,9,1,ATMN,770.0,1885.0,-123.84,-726.00
9,9,1,WNTR,-6791.0,-4232.0,-486.62,1587.78
10,10,1,SPNG,-2000.0,0.0,0.00,20.00
10,10,1,SMMR,-1350.0,2250.0,77.62,1038.38
10,10,1,ATMN,770.0,0.0,-354.84,-726.00
10,10,1,WNTR,-11022.0,-4231.0,-401.58,1579.30
11,11,1,SPNG,-3000.0,-1000.0,10.00,30.00
11,11,1,SMMR,-1350.0,0.0,77.62,1038.38
11,11,1,ATMN,770.0,0.0,-354.84,-726.00
11,11,1,WNTR,-11022.0,0.0,-401.58,1579.30
12,12,1,SPNG,-4700.0,-1700.0,-533.00,47.00
12,12,1,SMMR,-1350.0,0.0,77.62,1038.38
12,12,1,ATMN,-2230.0,-3000.0,-1090.60,-981.94
12,12,1,WNTR,5300.0,16322.0,-333.37,2032.03
13,13,1,SPNG,-3400.0,1300.0,-45.57,55.57
13,13,1,SMMR,-1350.0,0.0,77.62,1038.38
13,13,1,ATMN,770.0,3000.0,-245.50,-1849.54
13,13,1,WNTR,8709.0,3409.0,-401.55,2117.25
14,14,1,SPNG,-4640.0,-1240.0,-164.42,67.97
14,14,1,SMMR,-3600.0,-2250.0,-21.38,1083.38
14,14,1,ATMN,-1797.0,-2567.0,-534.00,-2018.04
14,14,1,WNTR,8709.0,0.0,-314.46,2117.25
15,15,1,SPNG,-4640.0,0.0,-535.62,67.97
15,15,1,SMMR,-1350.0,2250.0,-35.02,1205.02
15,15,1,ATMN,-3297.0,-1500.0,-420.24,-1995.54
15,15,1,WNTR,13482.0,4773.0,-1089.98,2236.57
16,16,1,SPNG,-5682.0,-1042.0,-556.46,47.13
16,16,1,SMMR,-8550.0,-7200.0,-719.02,1205.02
16,16,1,ATMN,-4797.0,-1500.0,-102.42,-1973.04
16,16,1,WNTR,10982.0,-2500.0,-1107.50,1934.46
17,17,1,SPNG,-2547.0,3135.0,259.96,56.73
17,17,1,SMMR,-9450.0,-900.0,189.98,1223.02
17,17,1,ATMN,-7160.0,-2363.0,-2740.56,-1937.59
17,17,1,WNTR,-5018.0,-16000.0,-50.18,1456.41
18,18,1,SPNG,-3693.0,-1146.0,-32.97,68.19
18,18,1,SMMR,-9450.0,0.0,-377.02,1223.02
18,18,1,ATMN,-7160.0,0.0,-2740.56,-1937.59
18,18,1,WNTR,-4998.0,20.0,-279.52,1974.95
19,19,1,SPNG,-3693.0,0.0,3.96,68.19
19,19,1,SMMR,-3107.0,6343.0,-143.33,1618.43
19,19,1,ATMN,-2320.0,4840.0,-493.60,-3136.75
19,19,1,WNTR,-4998.0,0.0,-379.48,1974.95
20,20,1,SPNG,-1186.0,2507.0,13.13,321.54
20,20,1,SMMR,2510.0,5617.0,-91.81,1935.17
20,20,1,ATMN,-4993.0,-2673.0,-1580.30,-3096.65
20,20,1,WNTR,3399.0,8397.0,-107.97,2575.26
21,21,1,SPNG,-702.0,484.0,-82.16,735.31
21,21,1,SMMR,2510.0,0.0,159.19,1935.17
21,21,1,ATMN,-4993.0,0.0,-82.40,-3096.65
21,21,1,WNTR,1999.0,-1400.0,16.46,2719.79
22,22,1,SPNG,-702.0,0.0,135.46,735.31
22,22,1,SMMR,6331.0,3821.0,-19.82,2011.59
22,22,1,ATMN,-4993.0,0.0,-182.26,-3096.65
22,22,1,WNTR,9039.0,7040.0,-292.30,2895.79
23,23,1,SPNG,-2062.0,-1360.0,-55.88,748.91
23,23,1,SMMR,6331.0,0.0,-273.06,2011.59
23,23,1,ATMN,-7029.0,-2036.0,-1888.62,-3066.11
23,23,1,WNTR,9039.0,0.0,-201.91,2895.79
24,24,1,SPNG,-2062.0,0.0,-117.74,748.91
24,24,1,SMMR,-7226.0,-13557.0,122.00,2199.60
24,24,1,ATMN,-2223.0,4806.0,-63.78,-3924.91
24,24,1,WNTR,12699.0,3660.0,-555.44,2987.29
25,25,1,SPNG,-462.0,1600.0,-26.38,841.55
25,25,1,SMMR,-7226.0,0.0,-1106.42,2199.60
25,25,1,ATMN,-438.0,1785.0,-16.95,-3824.39
25,25,1,WNTR,-13585.0,-26284.0,-178.30,3652.24
26,26,1,SPNG,-462.0,0.0,-12.52,841.55
26,26,1,SMMR,-7226.0,0.0,-1106.42,2199.60
26,26,1,ATMN,-438.0,0.0,-16.95,-3824.39
26,26,1,WNTR,-23585.0,-10000.0,-2496.80,3902.24
27,27,1,SPNG,-1062.0,-600.0,-47.19,933.12
27,27,1,SMMR,-7226.0,0.0,-167.04,2199.60
27,27,1,ATMN,-2494.0,-2056.0,-68.64,-3793.55
27,27,1,WNTR,-3585.0,20000.0,-307.82,3224.96
28,28,1,SPNG,-62.0,1000.0,-5.23,1068.68
28,28,1,SMMR,12655.0,19881.0,-361.70,2348.75
28,28,1,ATMN,-3008.0,-514.0,-559.44,-3785.84
28,28,1,WNTR,-4998.0,-1413.0,-45.04,3292.57
29,29,1,SPNG,-62.0,0.0,2.21,1068.68
29,29,1,SMMR,11528.0,-1127.0,-405.90,2665.17
29,29,1,ATMN,-96.0,2912.0,1.35,-3755.95
29,29,1,WNTR,-8498.0,-3500.0,-364.94,3222.57
30,30,1,SPNG,1938.0,2000.0,-95.04,1096.47
30,30,1,SMMR,11528.0,0.0,-405.90,2665.17
30,30,1,ATMN,-3096.0,-3000.0,-60.57,-3710.95
30,30,1,WNTR,5499.0,13997.0,-466.92,3562.46
31,31,1,SPNG,938.0,-1000.0,25.94,1315.77
31,31,1,SMMR,2697.0,-8831.0,444.44,3820.16
31,31,1,ATMN,-6096.0,-3000.0,-1560.57,-3665.95
31,31,1,WNTR,5499.0,0.0,-466.92,3562.46
32,32,1,SPNG,938.0,0.0,185.40,1315.77
32,32,1,SMMR,2697.0,0.0,444.44,3820.16
32,32,1,ATMN,-8498.0,-2402.0,-853.07,-3629.92
32,32,1,WNTR,-2198.0,-7697.0,-238.87,3989.72
33,33,1,SPNG,2495.0,1557.0,-508.72,1331.34
33,33,1,SMMR,2697.0,0.0,444.44,3820.16
33,33,1,ATMN,-3309.0,5189.0,-411.80,-3756.24
33,33,1,WNTR,9559.0,11757.0,-682.43,4242.60
34,34,1,SPNG,4495.0,2000.0,-414.47,1351.34
34,34,1,SMMR,6467.0,3770.0,-362.92,3895.56
34,34,1,ATMN,2691.0,6000.0,-568.02,-3674.78
34,34,1,WNTR,879.0,-8680.0,-36.38,4829.44
35,35,1,SPNG,2895.0,-1600.0,-209.04,1659.81
35,35,1,SMMR,8669.0,2202.0,-757.83,3906.56
35,35,1,ATMN,2688.0,-3.0,-621.15,-3675.30
35,35,1,WNTR,5879.0,5000.0,-638.07,4954.44
36,36,1,SPNG,4369.0,1474.0,-1113.37,1674.55
36,36,1,SMMR,8669.0,0.0,-757.83,3906.56
36,36,1,ATMN,-4692.0,-7380.0,-1491.94,-4078.23
36,36,1,WNTR,5879.0,0.0,-402.91,4954.44
37,37,1,SPNG,2835.0,-1534.0,-272.69,2118.51
37,37,1,SMMR,1049.0,-7620.0,34.18,4048.15
37,37,1,ATMN,-4692.0,0.0,-694.30,-4078.23
37,37,1,WNTR,5879.0,0.0,-402.91,4954.44
38,38,1,SPNG,401.0,-2434.0,-34.23,2433.76
38,38,1,SMMR,1049.0,0.0,55.16,4048.15
38,38,1,ATMN,-12072.0,-7380.0,-349.54,-3967.53
38,38,1,WNTR,-1471.0,-7350.0,-102.99,4955.73
39,39,1,SPNG,401.0,0.0,-90.37,2433.76
39,39,1,SMMR,1049.0,0.0,55.16,4048.15
39,39,1,ATMN,-7072.0,5000.0,-2184.93,-4212.30
39,39,1,WNTR,0,1471.0,0.00,4823.32
40,40,1,SPNG,-401.0,-802.0,-44.11,2339.38
40,40,1,SMMR,0,-1049.0,0.00,4082.33
40,40,1,ATMN,-2072.0,5000.0,-785.19,-5857.08
40,40,1,WNTR,0,0,0.00,4823.32
41,41,1,SPNG,0,401.0,0.00,2363.44
41,41,1,SMMR,-1049.0,-1049.0,-31.47,4103.31
41,41,1,ATMN,0,2072.0,0.00,-6528.31
41,41,1,WNTR,0,0,0.00,4823.32
42,42,1,SPNG,0,0,0.00,2363.44
42,42,1,SMMR,0,1049.0,0.00,4050.86
42,42,1,ATMN,2481.0,2481.0,0.00,-6491.10
42,42,1,WNTR,0,0,0.00,4823.32
43,43,1,SPNG,0,0,0.00,2363.44
43,43,1,SMMR,0,0,0.00,4050.86
43,43,1,ATMN,2481.0,0.0,223.29,-6491.10
43,43,1,WNTR,0,0,0.00,4823.32
44,44,1,SPNG,0,0,0.00,2363.44
44,44,1,SMMR,0,0,0.00,4050.86
44,44,1,ATMN,2481.0,0.0,223.29,-6491.10
44,44,1,WNTR,0,0,0.00,4823.32
45,45,1,SPNG,0,0,0.00,2363.44
45,45,1,SMMR,0,0,0.00,4050.86
45,45,1,ATMN,2481.0,0.0,-24.81,-6491.10
45,45,1,WNTR,0,0,0.00,4823.32
46,46,1,SPNG,0,0,0.00,2363.44
46,46,1,SMMR,0,0,0.00,4050.86
46,46,1,ATMN,2481.0,0.0,-24.81,-6491.10
46,46,1,WNTR,0,0,0.00,4823.32
47,47,1,SPNG,0,0,0.00,2363.44
47,47,1,SMMR,0,0,0.00,4050.86
47,47,1,ATMN,2481.0,0.0,198.48,-6491.10
47,47,1,WNTR,0,0,0.00,4823.32
48,48,1,SPNG,0,0,0.00,2363.44
48,48,1,SMMR,0,0,0.00,4050.86
48,48,1,ATMN,2481.0,0.0,-24.81,-6491.10
48,48,1,WNTR,0,0,0.00,4823.32
49,49,1,SPNG,0,0,0.00,2363.44
49,49,1,SMMR,0,0,0.00,4050.86
49,49,1,ATMN,2481.0,0.0,-272.91,-6491.10
49,49,1,WNTR,0,0,0.00,4823.32
50,50,1,SPNG,0,0,0.00,2363.44
50,50,1,SMMR,0,0,0.00,4050.86
50,50,1,ATMN,2481.0,0.0,-595.44,-6491.10
50,50,1,WNTR,0,0,0.00,4823.32
51,51,1,SPNG,0,0,0.00,2363.44
51,51,1,SMMR,0,0,0.00,4050.86
51,51,1,ATMN,2481.0,0.0,-496.20,-6491.10
51,51,1,WNTR,0,0,0.00,4823.32
52,52,1,SPNG,0,0,0.00,2363.44
52,52,1,SMMR,0,0,0.00,4050.86
52,52,1,ATMN,2481.0,0.0,-49.62,-6491.10
52,52,1,WNTR,0,0,0.00,4823.32
53,53,1,SPNG,0,0,0.00,2363.44
53,53,1,SMMR,0,0,0.00,4050.86
53,53,1,ATMN,2481.0,0.0,-49.62,-6491.10
53,53,1,WNTR,0,0,0.00,4823.32
54,54,1,SPNG,0,0,0.00,2363.44
54,54,1,SMMR,0,0,0.00,4050.86
54,54,1,ATMN,2481.0,0.0,-49.62,-6491.10
54,54,1,WNTR,0,0,0.00,4823.32
55,55,1,SPNG,0,0,0.00,2363.44
55,55,1,SMMR,0,0,0.00,4050.86
55,55,1,ATMN,2481.0,0.0,-49.62,-6491.10
55,55,1,WNTR,0,0,0.00,4823.32
56,56,1,SPNG,0,0,0.00,2363.44
56,56,1,SMMR,0,0,0.00,4050.86
56,56,1,ATMN,2481.0,0.0,545.82,-6491.10
56,56,1,WNTR,0,0,0.00,4823.32
57,57,1,SPNG,0,0,0.00,2363.44
57,57,1,SMMR,0,0,0.00,4050.86
57,57,1,ATMN,2481.0,0.0,-49.62,-6491.10
57,57,1,WNTR,0,0,0.00,4823.32
58,58,1,SPNG,0,0,0.00,2363.44
58,58,1,SMMR,0,0,0.00,4050.86
58,58,1,ATMN,2481.0,0.0,-124.05,-6491.10
58,58,1,WNTR,0,0,0.00,4823.32
59,59,1,SPNG,0,0,0.00,2363.44
59,59,1,SMMR,0,0,0.00,4050.86
59,59,1,ATMN,2481.0,0.0,347.34,-6491.10
59,59,1,WNTR,0,0,0.00,4823.32
60,0,2,SPNG,0,0,0.00,2363.44
60,0,2,SMMR,0,0,0.00,4050.86
60,0,2,ATMN,2481.0,0.0,347.34,-6491.10
60,0,2,WNTR,0,0,0.00,4823.32
61,1,2,SPNG,0,0,0.00,2363.44
