tick,second_in_day,day,ticker,position,position_change,unrealized_pnl,realized_pnl
1,1,1,SPNG,0,0,0.00,0.00
1,1,1,SMMR,0,0,0.00,0.00
1,1,1,ATMN,0,0,0.00,0.00
1,1,1,WNTR,0,0,0.00,0.00
2,2,1,SPNG,0,0,0.00,0.00
2,2,1,SMMR,0,0,0.00,0.00
2,2,1,ATMN,0,0,0.00,0.00
2,2,1,WNTR,0,0,0.00,0.00
3,3,1,SPNG,0,0,0.00,0.00
3,3,1,SMMR,0,0,0.00,0.00
3,3,1,ATMN,0,0,0.00,0.00
3,3,1,WNTR,0,0,0.00,0.00
4,4,1,SPNG,0,0,0.00,0.00
4,4,1,SMMR,0,0,0.00,0.00
4,4,1,ATMN,0,0,0.00,0.00
4,4,1,WNTR,0,0,0.00,0.00
5,5,1,SPNG,0,0,0.00,0.00
5,5,1,SMMR,0,0,0.00,0.00
5,5,1,ATMN,0,0,0.00,0.00
5,5,1,WNTR,0,0,0.00,0.00
6,6,1,SPNG,0,0,0.00,0.00
6,6,1,SMMR,2520.0,2520.0,-187.20,50.40
6,6,1,ATMN,0,0,0.00,0.00
6,6,1,WNTR,3640.0,3640.0,-98.80,91.00
7,7,1,SPNG,160.0,160.0,-66.51,59.31
7,7,1,SMMR,2520.0,0.0,-187.20,50.40
7,7,1,ATMN,-840.0,-840.0,-91.20,12.60
7,7,1,WNTR,5868.0,2228.0,-877.56,146.70
8,8,1,SPNG,-400.0,-560.0,-256.80,-28.80
8,8,1,SMMR,-406.0,-2926.0,-8.12,1.62
8,8,1,ATMN,-1680.0,-840.0,-216.00,25.20
8,8,1,WNTR,2417.0,-3451.0,-143.93,323.27
9,9,1,SPNG,-400.0,0.0,-112.00,122.40
9,9,1,SMMR,-1126.0,-720.0,-72.37,84.71
9,9,1,ATMN,0,1680.0,0.00,111.60
9,9,1,WNTR,-815.0,-3232.0,-57.05,334.81
10,10,1,SPNG,-400.0,0.0,16.00,122.40
10,10,1,SMMR,-1126.0,0.0,-72.37,84.71
10,10,1,ATMN,0,0,0.00,111.60
10,10,1,WNTR,-815.0,0.0,-16.30,334.81
11,11,1,SPNG,-400.0,0.0,-34.40,169.60
11,11,1,SMMR,3914.0,5040.0,-552.40,146.92
11,11,1,ATMN,-1440.0,-1440.0,-160.80,112.20
11,11,1,WNTR,1985.0,2800.0,-31.70,404.81
12,12,1,SPNG,-400.0,0.0,-34.40,169.60
12,12,1,SMMR,3914.0,0.0,-630.68,146.92
12,12,1,ATMN,-1680.0,-240.0,40.80,107.40
12,12,1,WNTR,1985.0,0.0,-31.70,404.81
13,13,1,SPNG,160.0,560.0,-27.20,164.80
13,13,1,SMMR,3914.0,0.0,-630.68,146.92
13,13,1,ATMN,-840.0,840.0,28.80,217.20
13,13,1,WNTR,1985.0,0.0,-31.70,404.81
14,14,1,SPNG,160.0,0.0,-33.60,164.80
14,14,1,SMMR,1214.0,-2700.0,-147.06,-40.64
14,14,1,ATMN,-840.0,0.0,54.00,217.20
14,14,1,WNTR,1973.0,-12.0,-209.92,530.41
15,15,1,SPNG,160.0,0.0,-59.02,236.62
15,15,1,SMMR,764.0,-450.0,-8.51,-50.15
15,15,1,ATMN,-840.0,0.0,54.00,217.20
15,15,1,WNTR,599.0,-1374.0,-20.60,568.80
16,16,1,SPNG,160.0,0.0,-15.82,236.62
16,16,1,SMMR,-496.0,-1260.0,-27.52,12.38
16,16,1,ATMN,0,840.0,0.00,349.80
16,16,1,WNTR,-2201.0,-2800.0,-190.09,672.11
17,17,1,SPNG,-960.0,-1120.0,-216.80,240.00
17,17,1,SMMR,764.0,1260.0,-103.28,25.42
17,17,1,ATMN,840.0,840.0,-253.20,362.40
17,17,1,WNTR,-2201.0,0.0,-212.10,672.11
18,18,1,SPNG,-960.0,0.0,61.60,240.00
18,18,1,SMMR,764.0,0.0,-72.72,25.42
18,18,1,ATMN,-840.0,-1680.0,-134.40,439.80
18,18,1,WNTR,992.0,3193.0,-160.32,583.86
19,19,1,SPNG,-960.0,0.0,-216.80,240.00
19,19,1,SMMR,-496.0,-1260.0,-96.96,16.10
19,19,1,ATMN,0,840.0,0.00,426.00
19,19,1,WNTR,992.0,0.0,-84.82,553.35
20,20,1,SPNG,-400.0,560.0,-86.33,183.13
20,20,1,SMMR,764.0,1260.0,-122.68,-25.90
20,20,1,ATMN,840.0,840.0,-32.40,438.60
20,20,1,WNTR,992.0,0.0,-84.82,553.35
21,21,1,SPNG,-400.0,0.0,-50.33,183.13
21,21,1,SMMR,1664.0,900.0,-142.04,-7.90
21,21,1,ATMN,840.0,0.0,-32.40,438.60
21,21,1,WNTR,992.0,0.0,-84.82,553.35
22,22,1,SPNG,0,400.0,0.00,221.60
22,22,1,SMMR,1664.0,0.0,-142.04,-7.90
22,22,1,ATMN,240.0,-600.0,12.34,466.46
22,22,1,WNTR,-8.0,-1000.0,-0.16,533.22
23,23,1,SPNG,160.0,160.0,-25.60,223.20
23,23,1,SMMR,404.0,-1260.0,-34.49,-41.65
23,23,1,ATMN,840.0,600.0,-74.40,476.40
23,23,1,WNTR,-1808.0,-1800.0,-183.36,533.22
24,24,1,SPNG,160.0,0.0,23.11,295.29
24,24,1,SMMR,-496.0,-900.0,-4.96,10.54
24,24,1,ATMN,840.0,0.0,34.80,476.40
24,24,1,WNTR,-1955.0,-147.0,-69.10,646.57
25,25,1,SPNG,720.0,560.0,-166.49,284.09
25,25,1,SMMR,-496.0,0.0,-9.92,10.54
25,25,1,ATMN,0,-840.0,0.00,567.00
25,25,1,WNTR,-2355.0,-400.0,-186.85,656.57
26,26,1,SPNG,160.0,-560.0,-27.40,263.40
26,26,1,SMMR,-136.0,360.0,-14.96,58.78
26,26,1,ATMN,0,0,0.00,670.20
26,26,1,WNTR,-2355.0,0.0,-233.95,656.57
27,27,1,SPNG,720.0,560.0,95.80,269.00
27,27,1,SMMR,1124.0,1260.0,-112.84,90.78
27,27,1,ATMN,0,0,0.00,670.20
27,27,1,WNTR,-745.0,1610.0,22.84,610.48
28,28,1,SPNG,160.0,-560.0,21.29,414.71
28,28,1,SMMR,1124.0,0.0,-34.16,90.78
28,28,1,ATMN,840.0,840.0,-108.00,682.80
28,28,1,WNTR,987.0,1732.0,-60.09,825.47
29,29,1,SPNG,160.0,0.0,26.09,414.71
29,29,1,SMMR,2024.0,900.0,-94.88,108.78
29,29,1,ATMN,840.0,0.0,-82.80,682.80
29,29,1,WNTR,987.0,0.0,-30.48,825.47
30,30,1,SPNG,720.0,560.0,-131.51,420.31
30,30,1,SMMR,602.0,-1422.0,74.12,125.40
30,30,1,ATMN,840.0,0.0,-82.80,682.80
30,30,1,WNTR,987.0,0.0,-51.22,928.99
31,31,1,SPNG,720.0,0.0,-131.51,420.31
31,31,1,SMMR,1862.0,1260.0,-291.08,150.60
31,31,1,ATMN,1200.0,360.0,-24.00,673.80
31,31,1,WNTR,987.0,0.0,67.22,928.99
32,32,1,SPNG,560.0,-160.0,161.18,398.82
32,32,1,SMMR,1862.0,0.0,-187.71,191.23
32,32,1,ATMN,1200.0,0.0,12.00,775.80
32,32,1,WNTR,-413.0,-1400.0,-8.52,1060.82
33,33,1,SPNG,1520.0,960.0,-263.62,396.42
33,33,1,SMMR,1862.0,0.0,147.45,191.23
33,33,1,ATMN,360.0,-840.0,-50.40,784.20
33,33,1,WNTR,-413.0,0.0,-8.52,1060.82
34,34,1,SPNG,1680.0,160.0,-390.82,393.22
34,34,1,SMMR,3122.0,1260.0,-372.49,216.43
34,34,1,ATMN,360.0,0.0,36.00,784.20
34,34,1,WNTR,-413.0,0.0,-4.39,1060.82
35,35,1,SPNG,2179.0,499.0,-473.54,398.21
35,35,1,SMMR,3122.0,0.0,-403.71,216.43
35,35,1,ATMN,360.0,0.0,36.00,784.20
35,35,1,WNTR,-3213.0,-2800.0,-56.52,1130.82
36,36,1,SPNG,1771.0,-408.0,-332.77,482.17
36,36,1,SMMR,1612.0,-1510.0,-208.45,124.70
36,36,1,ATMN,360.0,0.0,36.00,784.20
36,36,1,WNTR,-413.0,2800.0,25.77,1271.57
37,37,1,SPNG,1990.0,219.0,297.34,501.03
37,37,1,SMMR,1612.0,0.0,-79.49,124.70
37,37,1,ATMN,-720.0,-1080.0,-75.20,905.60
37,37,1,WNTR,-3213.0,-2800.0,-383.92,1341.57
38,38,1,SPNG,1430.0,-560.0,213.67,689.50
38,38,1,SMMR,1141.0,-471.0,-65.89,233.01
38,38,1,ATMN,-480.0,240.0,-30.93,934.53
38,38,1,WNTR,-3213.0,0.0,-383.92,1341.57
39,39,1,SPNG,2071.0,641.0,-675.22,695.91
39,39,1,SMMR,2041.0,900.0,-106.71,251.01
39,39,1,ATMN,-1080.0,-600.0,5.07,943.53
39,39,1,WNTR,162.0,3375.0,-8.10,1114.31
40,40,1,SPNG,2071.0,0.0,256.73,695.91
40,40,1,SMMR,2041.0,0.0,-147.53,251.01
40,40,1,ATMN,-240.0,840.0,1.13,1045.27
40,40,1,WNTR,-2638.0,-2800.0,-229.42,1179.44
41,41,1,SPNG,2554.0,483.0,-330.01,700.74
41,41,1,SMMR,2041.0,0.0,-106.71,251.01
41,41,1,ATMN,-240.0,0.0,1.13,1045.27
41,41,1,WNTR,-2638.0,0.0,-123.90,1179.44
42,42,1,SPNG,1902.0,-652.0,876.42,988.13
42,42,1,SMMR,1681.0,-360.0,-84.32,313.80
42,42,1,ATMN,-240.0,0.0,1.13,1045.27
42,42,1,WNTR,-5098.0,-2460.0,-312.70,1240.94
43,43,1,SPNG,2379.0,477.0,-387.13,992.90
43,43,1,SMMR,1681.0,0.0,-33.89,313.80
43,43,1,ATMN,-840.0,-600.0,-39.67,1054.27
43,43,1,WNTR,-2446.0,2652.0,-76.65,1224.14
44,44,1,SPNG,1735.0,-644.0,-143.54,969.99
44,44,1,SMMR,1321.0,-360.0,246.85,542.06
44,44,1,ATMN,-480.0,360.0,-35.34,1104.54
44,44,1,WNTR,-1859.0,587.0,10.72,1338.44
45,45,1,SPNG,2201.0,466.0,-180.82,960.67
45,45,1,SMMR,1321.0,0.0,35.49,542.06
45,45,1,ATMN,360.0,840.0,-68.40,1120.20
45,45,1,WNTR,-1859.0,0.0,29.31,1338.44
46,46,1,SPNG,1535.0,-666.0,-141.45,1108.59
46,46,1,SMMR,-1199.0,-2520.0,14.40,667.58
46,46,1,ATMN,360.0,0.0,-68.40,1120.20
46,46,1,WNTR,-1859.0,0.0,29.31,1338.44
47,47,1,SPNG,1535.0,0.0,-141.45,1108.59
47,47,1,SMMR,1321.0,2520.0,-85.27,768.35
47,47,1,ATMN,-821.0,-1181.0,0.00,1083.91
47,47,1,WNTR,-1859.0,0.0,29.31,1338.44
48,48,1,SPNG,1535.0,0.0,-141.45,1108.59
48,48,1,SMMR,1321.0,0.0,-85.27,768.35
48,48,1,ATMN,360.0,1181.0,7.20,1181.40
48,48,1,WNTR,-859.0,1000.0,13.54,1399.21
49,49,1,SPNG,1535.0,0.0,-3.30,1108.59
49,49,1,SMMR,1321.0,0.0,-85.27,768.35
49,49,1,ATMN,360.0,0.0,18.00,1181.40
49,49,1,WNTR,-1859.0,-1000.0,-22.23,1424.21
50,50,1,SPNG,1535.0,0.0,-678.70,1108.59
50,50,1,SMMR,1321.0,0.0,-85.27,768.35
50,50,1,ATMN,360.0,0.0,50.40,1181.40
50,50,1,WNTR,-1859.0,0.0,-52.18,1468.98
51,51,1,SPNG,1535.0,0.0,-218.20,1108.59
51,51,1,SMMR,1321.0,0.0,-98.48,768.35
51,51,1,ATMN,360.0,0.0,72.00,1181.40
51,51,1,WNTR,-1859.0,0.0,-70.77,1468.98
52,52,1,SPNG,1535.0,0.0,-218.20,1108.59
52,52,1,SMMR,1321.0,0.0,-6.01,768.35
52,52,1,ATMN,360.0,0.0,46.80,1181.40
52,52,1,WNTR,-1859.0,0.0,77.95,1468.98
53,53,1,SPNG,1535.0,0.0,-218.20,1108.59
53,53,1,SMMR,1321.0,0.0,-98.48,768.35
53,53,1,ATMN,360.0,0.0,46.80,1181.40
53,53,1,WNTR,-1859.0,0.0,77.95,1468.98
54,54,1,SPNG,1535.0,0.0,-325.65,1108.59
54,54,1,SMMR,1321.0,0.0,-124.90,768.35
54,54,1,ATMN,360.0,0.0,75.60,1181.40
54,54,1,WNTR,-1859.0,0.0,77.95,1468.98
55,55,1,SPNG,1535.0,0.0,-248.90,1108.59
55,55,1,SMMR,1321.0,0.0,-124.90,768.35
55,55,1,ATMN,360.0,0.0,100.80,1181.40
55,55,1,WNTR,-1859.0,0.0,115.13,1468.98
56,56,1,SPNG,1535.0,0.0,411.15,1108.59
56,56,1,SMMR,1321.0,0.0,-124.90,768.35
56,56,1,ATMN,360.0,0.0,122.40,1181.40
56,56,1,WNTR,-1859.0,0.0,40.77,1468.98
57,57,1,SPNG,1535.0,0.0,-110.75,1108.59
57,57,1,SMMR,1321.0,0.0,-98.48,768.35
57,57,1,ATMN,360.0,0.0,100.80,1181.40
57,57,1,WNTR,-1859.0,0.0,40.77,1468.98
58,58,1,SPNG,1535.0,0.0,-3.30,1108.59
58,58,1,SMMR,1321.0,0.0,-138.11,768.35
58,58,1,ATMN,360.0,0.0,86.40,1181.40
58,58,1,WNTR,-1859.0,0.0,-15.00,1468.98
59,59,1,SPNG,1535.0,0.0,-49.35,1108.59
59,59,1,SMMR,1321.0,0.0,73.25,768.35
59,59,1,ATMN,360.0,0.0,86.40,1181.40
59,59,1,WNTR,-1859.0,0.0,-89.36,1468.98
60,0,2,SPNG,1535.0,0.0,1623.80,1108.59
60,0,2,SMMR,1321.0,0.0,-45.64,768.35
60,0,2,ATMN,360.0,0.0,86.40,1181.40
60,0,2,WNTR,-1859.0,0.0,152.31,1468.98
61,1,2,SPNG,1535.0,0.0,1623.80,1108.59
