day,end_tick,WNTR_end_pos,SMMR_end_pos,ATMN_end_pos,SPNG_end_pos,aggregate_at_close,aggregate_limit,over_limit_shares,estimated_penalty,nlv,pnl_from_start
1,59,0,0,2481.0,0,2481.0,11000,0,0.00,-23001.13,
2,119,0,0,-3593.0,0,3593.0,11000,0,0.00,-25588.93,
3,179,0,0,-350.0,333.0,683.0,11000,0,0.00,-13400.72,
4,239,0,-3601.0,-2110.0,1988.0,7699.0,11000,0,0.00,-13894.33,
5,299,0,0,0,2314.0,2314.0,11000,0,0.00,-21580.34,
