tick,second_in_day,day,aggregate_position,gross_limit,net_limit,utilization_pct,net_position,nlv,pnl_estimate
5,5,1,0,50000,30000,0.0000,0,0.00,
10,10,1,9072.0,50000,30000,0.1814,1858.0,240.43,
15,15,1,9285.0,50000,30000,0.1857,9111.0,1735.40,
20,20,1,11645.0,50000,30000,0.2329,3135.0,2245.38,
25,25,1,18849.0,50000,30000,0.3770,18849.0,2931.86,
30,30,1,16689.0,50000,30000,0.3338,16689.0,5100.85,
35,35,1,16207.0,50000,30000,0.3241,2395.0,6528.20,
40,40,1,3498.0,50000,30000,0.0700,3498.0,7795.36,
45,45,1,1544.0,50000,30000,0.0309,1092.0,8824.08,
50,50,1,1544.0,50000,30000,0.0309,1092.0,8947.60,
55,55,1,1544.0,50000,30000,0.0309,1092.0,8747.64,
60,0,2,1544.0,14000,30000,0.1103,1092.0,9011.20,
65,5,2,1544.0,50000,30000,0.0309,1092.0,9116.64,
70,10,2,10088.0,50000,30000,0.2018,3088.0,11385.56,
75,15,2,14798.0,50000,30000,0.2960,2004.0,11615.73,
80,20,2,6289.0,50000,30000,0.1258,3189.0,11466.86,
85,25,2,18020.0,50000,30000,0.3604,11944.0,12489.85,
90,30,2,7438.0,50000,30000,0.1488,3642.0,15853.61,
95,35,2,16788.0,50000,30000,0.3358,7664.0,16597.76,
100,40,2,4087.0,50000,30000,0.0817,3397.0,17959.46,
105,45,2,6825.0,50000,30000,0.1365,6825.0,19119.37,
110,50,2,6825.0,50000,30000,0.1365,6825.0,18336.07,
115,55,2,6825.0,50000,30000,0.1365,6825.0,18163.87,
120,0,3,6825.0,14000,30000,0.4875,6825.0,19120.42,
125,5,3,6825.0,50000,30000,0.1365,6825.0,20800.42,
130,10,3,6347.0,50000,30000,0.1269,653.0,16549.49,
135,15,3,9584.0,50000,30000,0.1917,5544.0,16077.97,
140,20,3,6636.0,50000,30000,0.1327,6636.0,17980.56,
145,25,3,10256.0,50000,30000,0.2051,1322.0,18644.76,
150,30,3,7670.0,50000,30000,0.1534,3714.0,19860.49,
155,35,3,10807.0,50000,30000,0.2161,2247.0,20543.52,
160,40,3,1606.0,50000,30000,0.0321,1606.0,20794.57,
165,45,3,0,50000,30000,0.0000,0,21581.51,
170,50,3,0,50000,30000,0.0000,0,21581.51,
175,55,3,0,50000,30000,0.0000,0,21581.51,
180,0,4,0,14000,30000,0.0000,0,21581.51,
185,5,4,0,50000,30000,0.0000,0,21581.51,
190,10,4,9669.0,50000,30000,0.1934,2071.0,18739.44,
195,15,4,14497.0,50000,30000,0.2899,9549.0,18814.12,
200,20,4,6861.0,50000,30000,0.1372,2689.0,20146.79,
205,25,4,15793.0,50000,30000,0.3159,7301.0,20773.22,
210,30,4,16892.0,50000,30000,0.3378,13436.0,23823.57,
215,35,4,18702.0,50000,30000,0.3740,10330.0,23883.04,
220,40,4,5838.0,50000,30000,0.1168,4058.0,27803.88,
225,45,4,0,50000,30000,0.0000,0,27925.60,
230,50,4,0,50000,30000,0.0000,0,27925.60,
235,55,4,0,50000,30000,0.0000,0,27925.60,
240,0,5,0,14000,30000,0.0000,0,27925.60,
245,5,5,0,50000,30000,0.0000,0,27925.60,
250,10,5,13440.0,50000,30000,0.2688,862.0,26117.22,
255,15,5,15070.0,50000,30000,0.3014,15070.0,26410.04,
260,20,5,6916.0,50000,30000,0.1383,2776.0,25608.84,
265,25,5,10704.0,50000,30000,0.2141,4202.0,24368.66,
270,30,5,12203.0,50000,30000,0.2441,11003.0,24026.53,
275,35,5,14084.0,50000,30000,0.2817,3428.0,25372.01,
280,40,5,3929.0,50000,30000,0.0786,3929.0,24970.71,
285,45,5,1000.0,50000,30000,0.0200,1000.0,24732.12,
290,50,5,1000.0,50000,30000,0.0200,1000.0,24782.12,
295,55,5,1000.0,50000,30000,0.0200,1000.0,25032.12,
300,0,6,0,14000,30000,0.0000,0,25102.12,
