day,end_tick,WNTR_end_pos,SMMR_end_pos,ATMN_end_pos,SPNG_end_pos,aggregate_at_close,aggregate_limit,over_limit_shares,estimated_penalty,nlv,pnl_from_start
1,59,-1859.0,1321.0,360.0,1535.0,5075.0,9000,0,0.00,4548.26,
2,119,-2739.0,-706.0,3374.0,-521.0,7340.0,9000,0,0.00,9441.07,
3,179,903.0,-258.0,301.0,-250.0,1712.0,9000,0,0.00,18521.13,
4,239,-1553.0,3015.0,-1604.0,-914.0,7086.0,9000,0,0.00,19638.10,
5,299,154.0,348.0,-836.0,-1213.0,2551.0,9000,0,0.00,26471.60,
