tick,second_in_day,day,ticker,bid,ask,mid,spread,last_price,volume
296,56,5,SPNG,24.92,25.35,25.1350,0.4300,25.70,39295148.0
296,56,5,SMMR,23.36,23.40,23.3800,0.0400,23.47,39187980.0
296,56,5,ATMN,23.75,23.88,23.8150,0.1300,23.75,42167866.0
296,56,5,WNTR,23.65,23.71,23.6800,0.0600,23.84,35867663.0
297,57,5,SPNG,25.24,25.35,25.2950,0.1100,25.70,39410148.0
297,57,5,SMMR,23.36,23.40,23.3800,0.0400,23.47,39187980.0
297,57,5,ATMN,23.75,23.88,23.8150,0.1300,23.75,42389266.0
297,57,5,WNTR,23.65,23.71,23.6800,0.0600,23.84,35991463.0
298,58,5,SPNG,25.20,25.70,25.4500,0.5000,25.20,39507448.0
298,58,5,SMMR,23.30,23.32,23.3100,0.0200,23.36,39273780.0
298,58,5,ATMN,23.68,24.11,23.8950,0.4300,24.11,42617566.0
298,58,5,WNTR,23.76,23.78,23.7700,0.0200,23.71,36079563.0
299,59,5,SPNG,25.20,25.43,25.3150,0.2300,25.70,39703048.0
299,59,5,SMMR,23.30,23.48,23.3900,0.1800,23.48,39674280.0
299,59,5,ATMN,23.68,23.70,23.6900,0.0200,23.72,42732794.0
299,59,5,WNTR,23.76,23.77,23.7650,0.0100,23.71,36079563.0
300,0,6,SPNG,25.20,25.28,25.2400,0.0800,25.28,39811448.0
300,0,6,SMMR,23.43,23.44,23.4350,0.0100,23.48,39674280.0
300,0,6,ATMN,23.68,23.99,23.8350,0.3100,24.11,42856194.0
300,0,6,WNTR,23.70,23.77,23.7350,0.0700,23.70,36307763.0
