tick,second_in_day,day,aggregate_position,gross_limit,net_limit,utilization_pct,net_position,nlv,pnl_estimate
5,5,1,0,50000,30000,0.0000,0,0.00,
10,10,1,2341.0,50000,30000,0.0468,2341.0,580.85,
15,15,1,2363.0,50000,30000,0.0473,683.0,938.34,
20,20,1,2996.0,50000,30000,0.0599,2196.0,822.96,
25,25,1,3571.0,50000,30000,0.0714,2131.0,1154.94,
30,30,1,3149.0,50000,30000,0.0630,3149.0,1966.09,
35,35,1,8874.0,50000,30000,0.1775,2448.0,1631.89,
40,40,1,6990.0,50000,30000,0.1398,1234.0,3052.55,
45,45,1,5741.0,50000,30000,0.1148,2023.0,3776.95,
50,50,1,5075.0,50000,30000,0.1015,1357.0,3761.57,
55,55,1,5075.0,50000,30000,0.1015,1357.0,4369.45,
60,0,2,5075.0,9000,30000,0.5639,1357.0,6344.19,
65,5,2,5075.0,50000,30000,0.1015,1357.0,6613.35,
70,10,2,6048.0,50000,30000,0.1210,3130.0,6670.54,
75,15,2,5986.0,50000,30000,0.1197,5986.0,6867.15,
80,20,2,4485.0,50000,30000,0.0897,4243.0,7221.85,
85,25,2,9578.0,50000,30000,0.1916,9578.0,7107.67,
90,30,2,5210.0,50000,30000,0.1042,1196.0,8805.42,
95,35,2,3894.0,50000,30000,0.0779,3894.0,9669.62,
100,40,2,13506.0,50000,30000,0.2701,4994.0,8640.45,
105,45,2,9040.0,50000,30000,0.1808,1474.0,10096.32,
110,50,2,8397.0,50000,30000,0.1679,465.0,9470.92,
115,55,2,7340.0,50000,30000,0.1468,592.0,9691.87,
120,0,3,7340.0,9000,30000,0.8156,592.0,16052.90,
125,5,3,7340.0,50000,30000,0.1468,592.0,14183.76,
130,10,3,6467.0,50000,30000,0.1293,1581.0,14097.78,
135,15,3,3570.0,50000,30000,0.0714,1290.0,14391.09,
140,20,3,7651.0,50000,30000,0.1530,2057.0,15197.58,
145,25,3,4494.0,50000,30000,0.0899,3074.0,15391.54,
150,30,3,3518.0,50000,30000,0.0704,3218.0,16159.28,
155,35,3,4600.0,50000,30000,0.0920,3652.0,16745.13,
160,40,3,3190.0,50000,30000,0.0638,3190.0,16927.25,
165,45,3,5919.0,50000,30000,0.1184,2169.0,17647.92,
170,50,3,1472.0,50000,30000,0.0294,664.0,18277.46,
175,55,3,1712.0,50000,30000,0.0342,696.0,18570.38,
180,0,4,1712.0,9000,30000,0.1902,696.0,18321.38,
185,5,4,1712.0,50000,30000,0.0342,696.0,17784.97,
190,10,4,3272.0,50000,30000,0.0654,1136.0,18117.38,
195,15,4,4483.0,50000,30000,0.0897,1465.0,18114.66,
200,20,4,8143.0,50000,30000,0.1629,2911.0,18027.77,
205,25,4,12647.0,50000,30000,0.2529,12027.0,17382.94,
210,30,4,6582.0,50000,30000,0.1316,4904.0,17747.19,
215,35,4,8787.0,50000,30000,0.1757,3135.0,18583.94,
220,40,4,8361.0,50000,30000,0.1672,2317.0,19247.47,
225,45,4,9535.0,50000,30000,0.1907,889.0,19973.36,
230,50,4,7086.0,50000,30000,0.1417,1056.0,20542.13,
235,55,4,7086.0,50000,30000,0.1417,1056.0,20159.41,
240,0,5,7086.0,9000,30000,0.7873,1056.0,20241.59,
245,5,5,7086.0,50000,30000,0.1417,1056.0,22754.82,
250,10,5,11232.0,50000,30000,0.2246,5210.0,21922.85,
255,15,5,12901.0,50000,30000,0.2580,7685.0,22591.85,
260,20,5,6708.0,50000,30000,0.1342,2284.0,23519.87,
265,25,5,5905.0,50000,30000,0.1181,5853.0,23963.10,
270,30,5,7380.0,50000,30000,0.1476,7380.0,24199.60,
275,35,5,9730.0,50000,30000,0.1946,2408.0,24700.19,
280,40,5,9722.0,50000,30000,0.1944,4058.0,25032.76,
285,45,5,5854.0,50000,30000,0.1171,750.0,26135.33,
290,50,5,2551.0,50000,30000,0.0510,1547.0,26479.85,
295,55,5,2551.0,50000,30000,0.0510,1547.0,26429.69,
