tick,second_in_day,day,aggregate_position,gross_limit,net_limit,utilization_pct,net_position,nlv,pnl_estimate
5,5,1,0,50000,30000,0.0000,0,0.00,
10,10,1,3330.0,50000,30000,0.0666,2210.0,429.38,
15,15,1,2369.0,50000,30000,0.0474,77.0,760.93,
20,20,1,3375.0,50000,30000,0.0675,1215.0,879.92,
25,25,1,6039.0,50000,30000,0.1208,3319.0,1650.86,
30,30,1,5441.0,50000,30000,0.1088,961.0,2104.64,
35,35,1,5722.0,50000,30000,0.1144,2008.0,2549.07,
40,40,1,12601.0,50000,30000,0.2520,12601.0,2038.35,
45,45,1,7428.0,50000,30000,0.1486,5782.0,4004.39,
50,50,1,6511.0,50000,30000,0.1302,6511.0,4307.95,
55,55,1,6511.0,50000,30000,0.1302,6511.0,4096.20,
60,0,2,6511.0,14000,30000,0.4651,6511.0,3400.43,
65,5,2,6511.0,50000,30000,0.1302,6511.0,7552.90,
70,10,2,3064.0,50000,30000,0.0613,1806.0,7003.15,
75,15,2,8788.0,50000,30000,0.1758,4170.0,5824.03,
80,20,2,8170.0,50000,30000,0.1634,2454.0,7934.23,
85,25,2,9580.0,50000,30000,0.1916,5926.0,8198.98,
90,30,2,7250.0,50000,30000,0.1450,4288.0,8380.87,
95,35,2,6443.0,50000,30000,0.1289,1641.0,8897.12,
100,40,2,7480.0,50000,30000,0.1496,2502.0,8831.66,
105,45,2,5141.0,50000,30000,0.1028,3137.0,8841.88,
110,50,2,2710.0,50000,30000,0.0542,2706.0,9489.88,
115,55,2,2710.0,50000,30000,0.0542,2706.0,9247.96,
120,0,3,2710.0,14000,30000,0.1936,2706.0,9374.81,
125,5,3,2710.0,50000,30000,0.0542,2706.0,10771.97,
130,10,3,6774.0,50000,30000,0.1355,6774.0,8299.67,
135,15,3,8070.0,50000,30000,0.1614,8070.0,8383.78,
140,20,3,7435.0,50000,30000,0.1487,7435.0,9132.85,
145,25,3,7033.0,50000,30000,0.1407,7033.0,9432.71,
150,30,3,5888.0,50000,30000,0.1178,634.0,10947.30,
155,35,3,8772.0,50000,30000,0.1754,7152.0,11008.58,
160,40,3,14283.0,50000,30000,0.2857,10983.0,10869.46,
165,45,3,8005.0,50000,30000,0.1601,5415.0,11399.92,
170,50,3,6602.0,50000,30000,0.1320,5212.0,11466.99,
175,55,3,6602.0,50000,30000,0.1320,5212.0,10793.80,
180,0,4,6602.0,14000,30000,0.4716,5212.0,8187.43,
185,5,4,6602.0,50000,30000,0.1320,5212.0,9058.62,
190,10,4,4937.0,50000,30000,0.0987,85.0,9732.58,
195,15,4,1280.0,50000,30000,0.0256,290.0,10407.67,
200,20,4,5814.0,50000,30000,0.1163,4824.0,10583.17,
205,25,4,5560.0,50000,30000,0.1112,5252.0,11193.82,
210,30,4,6614.0,50000,30000,0.1323,950.0,12469.55,
215,35,4,4957.0,50000,30000,0.0991,189.0,12621.06,
220,40,4,2777.0,50000,30000,0.0555,1899.0,12531.40,
225,45,4,7463.0,50000,30000,0.1493,535.0,12840.29,
230,50,4,6809.0,50000,30000,0.1362,545.0,12965.90,
235,55,4,6535.0,50000,30000,0.1307,819.0,12796.02,
240,0,5,6535.0,14000,30000,0.4668,819.0,14424.97,
245,5,5,6535.0,50000,30000,0.1307,819.0,14347.44,
250,10,5,4923.0,50000,30000,0.0985,2333.0,15716.78,
255,15,5,6898.0,50000,30000,0.1380,4464.0,15944.06,
260,20,5,5848.0,50000,30000,0.1170,5848.0,16867.74,
265,25,5,3025.0,50000,30000,0.0605,3025.0,16293.74,
270,30,5,2901.0,50000,30000,0.0580,2125.0,17409.77,
275,35,5,2893.0,50000,30000,0.0579,1579.0,18530.78,
280,40,5,4627.0,50000,30000,0.0925,2531.0,19386.73,
285,45,5,5774.0,50000,30000,0.1155,1042.0,19194.46,
290,50,5,5449.0,50000,30000,0.1090,717.0,20462.87,
295,55,5,5289.0,50000,30000,0.1058,557.0,20298.19,
300,0,6,5289.0,14000,30000,0.3778,557.0,20073.31,
