tick,second_in_day,day,aggregate_position,gross_limit,net_limit,utilization_pct,net_position,nlv,pnl_estimate
0,0,1,0,50000,30000,0.0000,0,0.00,
5,5,1,0,50000,30000,0.0000,0,0.00,
10,10,1,26080.0,50000,30000,0.5216,15858.0,-1844.92,
20,20,1,15735.0,50000,30000,0.3147,5765.0,1945.73,
25,25,1,7834.0,50000,30000,0.1567,6138.0,2836.34,
30,30,1,16563.0,50000,30000,0.3313,6593.0,3205.85,
35,35,1,8430.0,50000,30000,0.1686,678.0,5619.06,
40,40,1,5369.0,50000,30000,0.1074,2093.0,6950.17,
45,45,1,4926.0,50000,30000,0.0985,4926.0,7477.88,
50,50,1,4926.0,50000,30000,0.0985,4926.0,7654.09,
55,55,1,4926.0,50000,30000,0.0985,4926.0,7198.55,
60,0,2,4926.0,10000,30000,0.4926,4926.0,7984.89,
65,5,2,4926.0,50000,30000,0.0985,4926.0,5928.18,
70,10,2,5681.0,50000,30000,0.1136,2323.0,7195.74,
75,15,2,18677.0,50000,30000,0.3735,18677.0,6009.82,
80,20,2,13552.0,50000,30000,0.2710,11952.0,9393.25,
85,25,2,12574.0,50000,30000,0.2515,12574.0,9829.97,
90,30,2,17860.0,50000,30000,0.3572,6480.0,10705.86,
95,35,2,14003.0,50000,30000,0.2801,6905.0,14385.66,
100,40,2,2796.0,50000,30000,0.0559,1204.0,16694.24,
105,45,2,0,50000,30000,0.0000,0,16707.03,
110,50,2,0,50000,30000,0.0000,0,16707.03,
115,55,2,0,50000,30000,0.0000,0,16707.03,
120,0,3,0,10000,30000,0.0000,0,16707.03,
125,5,3,0,50000,30000,0.0000,0,16707.03,
130,10,3,10404.0,50000,30000,0.2081,3910.0,17430.71,
135,15,3,14189.0,50000,30000,0.2838,5251.0,17014.08,
140,20,3,8301.0,50000,30000,0.1660,1231.0,19818.60,
145,25,3,12270.0,50000,30000,0.2454,1230.0,18614.03,
150,30,3,13359.0,50000,30000,0.2672,11881.0,20904.46,
155,35,3,15106.0,50000,30000,0.3021,832.0,19792.41,
160,40,3,1006.0,50000,30000,0.0201,152.0,23113.92,
165,45,3,579.0,50000,30000,0.0116,579.0,23243.83,
170,50,3,579.0,50000,30000,0.0116,579.0,23278.58,
175,55,3,579.0,50000,30000,0.0116,579.0,23266.99,
180,0,4,579.0,10000,30000,0.0579,579.0,23880.74,
185,5,4,579.0,50000,30000,0.0116,579.0,23463.85,
190,10,4,10168.0,50000,30000,0.2034,2142.0,23917.20,
195,15,4,15228.0,50000,30000,0.3046,8508.0,23454.14,
200,20,4,8810.0,50000,30000,0.1762,7246.0,25565.46,
205,25,4,20474.0,50000,30000,0.4095,10578.0,26374.40,
210,30,4,4537.0,50000,30000,0.0907,1249.0,29282.28,
215,35,4,8778.0,50000,30000,0.1756,3278.0,29159.38,
220,40,4,8545.0,50000,30000,0.1709,8545.0,29328.24,
225,45,4,4945.0,50000,30000,0.0989,4945.0,29494.90,
230,50,4,4945.0,50000,30000,0.0989,4945.0,29791.60,
235,55,4,4945.0,50000,30000,0.0989,4945.0,30038.85,
240,0,5,4945.0,10000,30000,0.4945,4945.0,30038.85,
245,5,5,4945.0,50000,30000,0.0989,4945.0,20396.10,
250,10,5,12324.0,50000,30000,0.2465,5556.0,21566.26,
255,15,5,13859.0,50000,30000,0.2772,11351.0,22645.47,
260,20,5,14059.0,50000,30000,0.2812,14059.0,25112.18,
265,25,5,20828.0,50000,30000,0.4166,12692.0,25413.40,
270,30,5,11171.0,50000,30000,0.2234,3147.0,27113.10,
275,35,5,14959.0,50000,30000,0.2992,8267.0,30754.94,
280,40,5,1696.0,50000,30000,0.0339,1696.0,32198.56,
285,45,5,5294.0,50000,30000,0.1059,4272.0,32352.51,
290,50,5,5294.0,50000,30000,0.1059,4272.0,31964.76,
295,55,5,5294.0,50000,30000,0.1059,4272.0,32557.31,
300,0,6,5294.0,10000,30000,0.5294,4272.0,32271.76,
