tick,second_in_day,day,aggregate_position,gross_limit,net_limit,utilization_pct,net_position,nlv,pnl_estimate
170,50,3,4692.0,50000,30000,0.0938,1910.0,14821.51,
175,55,3,4692.0,50000,30000,0.0938,1910.0,14363.50,
180,0,4,4692.0,13000,30000,0.3609,1910.0,15488.25,
185,5,4,4692.0,50000,30000,0.0938,1910.0,12719.36,
190,10,4,3455.0,50000,30000,0.0691,2993.0,12983.36,
195,15,4,6551.0,50000,30000,0.1310,6551.0,13207.69,
200,20,4,7553.0,50000,30000,0.1511,3957.0,13561.35,
205,25,4,9270.0,50000,30000,0.1854,1978.0,12697.45,
210,30,4,11697.0,50000,30000,0.2339,2687.0,12590.76,
215,35,4,5488.0,50000,30000,0.1098,866.0,13040.66,
220,40,4,10397.0,50000,30000,0.2079,4139.0,12912.61,
225,45,4,9669.0,50000,30000,0.1934,6767.0,14014.41,
230,50,4,6878.0,50000,30000,0.1376,2542.0,14192.05,
235,55,4,6878.0,50000,30000,0.1376,2542.0,14670.23,
240,0,5,6878.0,13000,30000,0.5291,2542.0,9933.73,
245,5,5,6878.0,50000,30000,0.1376,2542.0,5636.43,
250,10,5,6876.0,50000,30000,0.1375,3246.0,6531.06,
255,15,5,7136.0,50000,30000,0.1427,3050.0,6716.63,
260,20,5,6090.0,50000,30000,0.1218,2912.0,6636.94,
265,25,5,5778.0,50000,30000,0.1156,2640.0,7046.69,
270,30,5,8452.0,50000,30000,0.1690,4276.0,6234.73,
275,35,5,6438.0,50000,30000,0.1288,1668.0,6343.31,
280,40,5,6805.0,50000,30000,0.1361,821.0,6125.76,
285,45,5,5616.0,50000,30000,0.1123,1304.0,7341.10,
290,50,5,5870.0,50000,30000,0.1174,958.0,6631.80,
295,55,5,5870.0,50000,30000,0.1174,958.0,6753.43,
300,0,6,0,13000,30000,0.0000,0,7018.56,
