tick,second_in_day,day,ticker,position,position_change,unrealized_pnl,realized_pnl
1,1,1,SPNG,0,0,0.00,0.00
1,1,1,SMMR,0,0,0.00,0.00
1,1,1,ATMN,0,0,0.00,0.00
1,1,1,WNTR,0,0,0.00,0.00
2,2,1,SPNG,0,0,0.00,0.00
2,2,1,SMMR,0,0,0.00,0.00
2,2,1,ATMN,0,0,0.00,0.00
2,2,1,WNTR,0,0,0.00,0.00
3,3,1,SPNG,0,0,0.00,0.00
3,3,1,SMMR,0,0,0.00,0.00
3,3,1,ATMN,0,0,0.00,0.00
3,3,1,WNTR,0,0,0.00,0.00
4,4,1,SPNG,0,0,0.00,0.00
4,4,1,SMMR,0,0,0.00,0.00
4,4,1,ATMN,0,0,0.00,0.00
4,4,1,WNTR,0,0,0.00,0.00
5,5,1,SPNG,0,0,0.00,0.00
5,5,1,SMMR,0,0,0.00,0.00
5,5,1,ATMN,0,0,0.00,0.00
5,5,1,WNTR,0,0,0.00,0.00
6,6,1,SPNG,0,0,0.00,0.00
6,6,1,SMMR,-2520.0,-2520.0,-100.80,-50.40
6,6,1,ATMN,0,0,0.00,0.00
6,6,1,WNTR,-2000.0,-2000.0,-40.00,50.00
7,7,1,SPNG,-560.0,-560.0,28.00,-11.20
7,7,1,SMMR,-2520.0,0.0,-50.40,-50.40
7,7,1,ATMN,240.0,240.0,26.06,74.74
7,7,1,WNTR,-1150.0,850.0,18.07,14.60
8,8,1,SPNG,-1120.0,-560.0,-392.00,-22.40
8,8,1,SMMR,406.0,2926.0,-4.06,16.72
8,8,1,ATMN,1080.0,840.0,28.46,87.34
8,8,1,WNTR,250.0,1400.0,-15.00,70.67
9,9,1,SPNG,-560.0,560.0,-67.20,-18.40
9,9,1,SMMR,2926.0,2520.0,-516.34,67.12
9,9,1,ATMN,240.0,-840.0,6.32,171.28
9,9,1,WNTR,-1150.0,-1400.0,8.00,118.17
10,10,1,SPNG,-560.0,0.0,11.20,-18.40
10,10,1,SMMR,1440.0,-1486.0,18.58,84.53
10,10,1,ATMN,1080.0,840.0,-59.68,175.48
10,10,1,WNTR,250.0,1400.0,7.50,210.17
11,11,1,SPNG,0,560.0,0.00,58.40
11,11,1,SMMR,2340.0,900.0,9.58,102.53
11,11,1,ATMN,480.0,-600.0,-26.52,187.32
11,11,1,WNTR,250.0,0.0,7.50,210.17
12,12,1,SPNG,0,0,0.00,-22.32
12,12,1,SMMR,1440.0,-900.0,106.69,178.22
12,12,1,ATMN,-360.0,-840.0,-67.20,208.20
12,12,1,WNTR,250.0,0.0,7.50,210.17
13,13,1,SPNG,0,0,0.00,117.68
13,13,1,SMMR,2700.0,1260.0,-46.31,203.42
13,13,1,ATMN,480.0,840.0,-172.80,182.40
13,13,1,WNTR,3050.0,2800.0,-76.00,280.17
14,14,1,SPNG,0,0,0.00,117.68
14,14,1,SMMR,2700.0,0.0,-343.31,203.42
14,14,1,ATMN,480.0,0.0,-91.20,182.40
14,14,1,WNTR,2025.0,-1025.0,-135.12,483.32
15,15,1,SPNG,-560.0,-560.0,-160.00,123.28
15,15,1,SMMR,1223.0,-1477.0,-69.89,116.89
15,15,1,ATMN,-120.0,-600.0,-3.60,133.80
15,15,1,WNTR,-466.0,-2491.0,-2.34,622.79
16,16,1,SPNG,-560.0,0.0,-160.00,123.28
16,16,1,SMMR,323.0,-900.0,10.61,128.46
16,16,1,ATMN,-360.0,-240.0,-62.40,137.40
16,16,1,WNTR,-2466.0,-2000.0,22.32,672.79
17,17,1,SPNG,-720.0,-160.0,-250.51,98.59
17,17,1,SMMR,-37.0,-360.0,-1.11,155.96
17,17,1,ATMN,-1200.0,-840.0,-55.20,150.00
17,17,1,WNTR,3575.0,6041.0,-205.24,875.46
18,18,1,SPNG,-720.0,0.0,-113.71,98.59
18,18,1,SMMR,-37.0,0.0,-1.11,155.96
18,18,1,ATMN,-1200.0,0.0,-55.20,150.00
18,18,1,WNTR,3575.0,0.0,-169.49,875.46
19,19,1,SPNG,-160.0,560.0,22.73,81.35
19,19,1,SMMR,1223.0,1260.0,-17.26,182.27
19,19,1,ATMN,-360.0,840.0,-16.56,198.36
19,19,1,WNTR,5813.0,2238.0,-686.27,931.40
20,20,1,SPNG,-720.0,-560.0,-338.07,86.95
20,20,1,SMMR,323.0,-900.0,-23.94,259.57
20,20,1,ATMN,-360.0,0.0,-52.56,198.36
20,20,1,WNTR,1972.0,-3841.0,-35.61,785.22
21,21,1,SPNG,-160.0,560.0,-86.33,184.81
21,21,1,SMMR,1223.0,900.0,-44.48,277.57
21,21,1,ATMN,-360.0,0.0,-2.16,198.36
21,21,1,WNTR,4462.0,2490.0,-182.08,847.47
22,22,1,SPNG,-720.0,-560.0,-256.73,190.41
22,22,1,SMMR,2483.0,1260.0,-141.63,302.77
22,22,1,ATMN,-960.0,-600.0,-246.27,278.07
22,22,1,WNTR,6562.0,2100.0,-659.04,899.97
23,23,1,SPNG,-160.0,560.0,-1.05,175.53
23,23,1,SMMR,2843.0,360.0,-425.93,309.97
23,23,1,ATMN,-1200.0,-240.0,-267.87,281.67
23,23,1,WNTR,6562.0,0.0,-527.80,899.97
24,24,1,SPNG,-720.0,-560.0,-254.65,181.13
24,24,1,SMMR,1383.0,-1460.0,-207.20,201.78
24,24,1,ATMN,-1200.0,0.0,-115.16,235.76
24,24,1,WNTR,8333.0,1771.0,-707.11,944.25
25,25,1,SPNG,-160.0,560.0,-21.39,75.07
25,25,1,SMMR,2466.0,1083.0,81.07,223.44
25,25,1,ATMN,-1200.0,0.0,-12.68,417.08
25,25,1,WNTR,2213.0,-6120.0,11.38,876.88
26,26,1,SPNG,-720.0,-560.0,-189.39,63.87
26,26,1,SMMR,3551.0,1085.0,-479.20,201.74
26,26,1,ATMN,-1200.0,0.0,-47.00,656.00
26,26,1,WNTR,1571.0,-642.0,62.33,913.32
27,27,1,SPNG,-560.0,160.0,-70.09,147.77
27,27,1,SMMR,3551.0,0.0,-479.20,201.74
27,27,1,ATMN,-360.0,840.0,-14.10,799.50
27,27,1,WNTR,2285.0,714.0,-61.32,952.17
28,28,1,SPNG,-720.0,-160.0,-364.46,296.54
28,28,1,SMMR,3551.0,0.0,-479.20,201.74
28,28,1,ATMN,-960.0,-600.0,-24.90,808.50
28,28,1,WNTR,2285.0,0.0,52.93,952.17
29,29,1,SPNG,-1280.0,-560.0,-350.86,285.34
29,29,1,SMMR,2006.0,-1545.0,-270.70,125.66
29,29,1,ATMN,-1800.0,-840.0,-118.50,821.10
29,29,1,WNTR,3505.0,1220.0,-255.56,982.67
30,30,1,SPNG,-1280.0,0.0,97.14,285.34
30,30,1,SMMR,3123.0,1117.0,-293.04,103.32
30,30,1,ATMN,-960.0,840.0,-44.00,886.40
30,30,1,WNTR,78.0,-3427.0,1.33,1068.15
31,31,1,SPNG,-1280.0,0.0,-338.06,285.34
31,31,1,SMMR,3123.0,0.0,-293.04,103.32
31,31,1,ATMN,-960.0,0.0,-34.40,886.40
31,31,1,WNTR,78.0,0.0,1.33,1068.15
32,32,1,SPNG,-1280.0,0.0,-146.06,285.34
32,32,1,SMMR,1613.0,-1510.0,-151.35,60.85
32,32,1,ATMN,-17.0,943.0,-0.27,912.54
32,32,1,WNTR,-2722.0,-2800.0,-155.32,1141.05
33,33,1,SPNG,-720.0,560.0,133.84,296.64
33,33,1,SMMR,1613.0,0.0,-22.31,60.85
33,33,1,ATMN,223.0,240.0,20.07,1085.97
33,33,1,WNTR,-1808.0,914.0,-47.46,1284.02
34,34,1,SPNG,-1680.0,-960.0,-272.56,294.24
34,34,1,SMMR,2873.0,1260.0,-49.03,35.65
34,34,1,ATMN,223.0,0.0,17.84,1085.97
34,34,1,WNTR,-1808.0,0.0,-47.46,1284.02
35,35,1,SPNG,-1840.0,-160.0,-206.96,291.04
35,35,1,SMMR,2873.0,0.0,-49.03,35.65
35,35,1,ATMN,-17.0,-240.0,-1.33,1136.03
35,35,1,WNTR,992.0,2800.0,-71.36,1415.04
36,36,1,SPNG,-2333.0,-493.0,-337.16,295.97
36,36,1,SMMR,2873.0,0.0,-49.03,35.65
36,36,1,ATMN,-857.0,-840.0,-71.26,1148.63
36,36,1,WNTR,-1808.0,-2800.0,-112.64,1437.19
37,37,1,SPNG,-2333.0,0.0,-290.50,295.97
37,37,1,SMMR,-109.0,-2982.0,2.18,118.58
37,37,1,ATMN,-1457.0,-600.0,-79.83,1157.63
37,37,1,WNTR,-3808.0,-2000.0,-150.72,1487.19
38,38,1,SPNG,-2179.0,154.0,-293.20,283.28
38,38,1,SMMR,-2629.0,-2520.0,-589.18,168.98
38,38,1,ATMN,-1697.0,-240.0,-259.30,1161.23
38,38,1,WNTR,-3808.0,0.0,-150.72,1487.19
39,39,1,SPNG,-2646.0,-467.0,-786.41,287.95
39,39,1,SMMR,-1578.0,1051.0,-116.94,112.11
39,39,1,ATMN,-857.0,840.0,-130.95,1088.67
39,39,1,WNTR,-7336.0,-3528.0,-438.58,1575.39
40,40,1,SPNG,-1990.0,656.0,-312.85,272.90
40,40,1,SMMR,-1578.0,0.0,-116.94,112.11
40,40,1,ATMN,-1697.0,-840.0,-301.68,1101.27
40,40,1,WNTR,-7336.0,0.0,-291.86,1575.39
41,41,1,SPNG,-1979.0,11.0,51.99,348.42
41,41,1,SMMR,-1578.0,0.0,-141.69,186.18
41,41,1,ATMN,-857.0,840.0,-23.80,1089.35
41,41,1,WNTR,-3222.0,4114.0,-63.75,1608.60
42,42,1,SPNG,-1442.0,537.0,161.83,422.57
42,42,1,SMMR,-2636.0,-1058.0,-433.35,207.34
42,42,1,ATMN,-1697.0,-840.0,-178.58,1101.95
42,42,1,WNTR,-2140.0,1082.0,-150.59,1792.50
43,43,1,SPNG,-1442.0,0.0,-126.57,422.57
43,43,1,SMMR,-1165.0,1471.0,29.83,110.48
43,43,1,ATMN,-857.0,840.0,-90.18,1069.35
43,43,1,WNTR,-4604.0,-2464.0,6.25,1854.10
44,44,1,SPNG,-1905.0,-463.0,-423.45,427.20
44,44,1,SMMR,-2425.0,-1260.0,37.98,121.28
44,44,1,ATMN,-857.0,0.0,38.37,1069.35
44,44,1,WNTR,-6167.0,-1563.0,-178.76,1893.18
45,45,1,SPNG,-1345.0,560.0,-3.07,373.92
45,45,1,SMMR,-1165.0,1260.0,41.55,240.01
45,45,1,ATMN,823.0,1680.0,-239.70,1209.18
45,45,1,WNTR,-4095.0,2072.0,311.28,2071.22
46,46,1,SPNG,-1345.0,0.0,-3.07,373.92
46,46,1,SMMR,-2253.0,-1088.0,-61.77,261.77
46,46,1,ATMN,823.0,0.0,-116.25,1209.18
46,46,1,WNTR,-4095.0,0.0,311.28,2071.22
47,47,1,SPNG,-1185.0,160.0,-101.35,465.61
47,47,1,SMMR,-2253.0,0.0,73.41,261.77
47,47,1,ATMN,-17.0,-840.0,-2.72,1301.52
47,47,1,WNTR,-4095.0,0.0,311.28,2071.22
48,48,1,SPNG,-1185.0,0.0,-65.80,465.61
48,48,1,SMMR,-2253.0,0.0,73.41,261.77
48,48,1,ATMN,-17.0,0.0,-2.72,1301.52
48,48,1,WNTR,-4095.0,0.0,-425.82,2071.22
49,49,1,SPNG,-1185.0,0.0,-136.90,465.61
49,49,1,SMMR,-2253.0,0.0,-16.71,261.77
49,49,1,ATMN,-17.0,0.0,3.91,1301.52
49,49,1,WNTR,-4095.0,0.0,65.58,2071.22
50,50,1,SPNG,-1185.0,0.0,111.95,465.61
50,50,1,SMMR,-1214.0,1039.0,-33.29,368.36
50,50,1,ATMN,-17.0,0.0,-2.04,1301.52
50,50,1,WNTR,-4095.0,0.0,24.63,2071.22
51,51,1,SPNG,-1185.0,0.0,111.95,465.61
51,51,1,SMMR,-1214.0,0.0,-142.55,368.36
51,51,1,ATMN,-17.0,0.0,-2.21,1301.52
51,51,1,WNTR,-4095.0,0.0,24.63,2071.22
52,52,1,SPNG,-1185.0,0.0,64.55,465.61
52,52,1,SMMR,-1214.0,0.0,-142.55,368.36
52,52,1,ATMN,-17.0,0.0,-2.21,1301.52
52,52,1,WNTR,-4095.0,0.0,-425.82,2071.22
53,53,1,SPNG,-1185.0,0.0,277.85,465.61
53,53,1,SMMR,-1214.0,0.0,-45.43,368.36
53,53,1,ATMN,-17.0,0.0,5.10,1301.52
53,53,1,WNTR,-4095.0,0.0,-507.72,2071.22
54,54,1,SPNG,-1185.0,0.0,-125.05,465.61
54,54,1,SMMR,-1214.0,0.0,-142.55,368.36
54,54,1,ATMN,-17.0,0.0,4.08,1301.52
54,54,1,WNTR,-4095.0,0.0,24.63,2071.22
55,55,1,SPNG,-1185.0,0.0,-136.90,465.61
55,55,1,SMMR,-1214.0,0.0,3.13,368.36
55,55,1,ATMN,-17.0,0.0,-1.36,1301.52
55,55,1,WNTR,-4095.0,0.0,24.63,2071.22
56,56,1,SPNG,-1185.0,0.0,-255.40,465.61
56,56,1,SMMR,-1214.0,0.0,3.13,368.36
56,56,1,ATMN,-17.0,0.0,-1.36,1301.52
56,56,1,WNTR,-4095.0,0.0,24.63,2071.22
57,57,1,SPNG,-1185.0,0.0,183.05,465.61
57,57,1,SMMR,-1214.0,0.0,75.97,368.36
57,57,1,ATMN,-17.0,0.0,-1.36,1301.52
57,57,1,WNTR,-4095.0,0.0,24.63,2071.22
58,58,1,SPNG,-1185.0,0.0,183.05,465.61
58,58,1,SMMR,-1214.0,0.0,75.97,368.36
58,58,1,ATMN,-17.0,0.0,-1.19,1301.52
58,58,1,WNTR,-4095.0,0.0,393.18,2071.22
59,59,1,SPNG,-1185.0,0.0,183.05,465.61
59,59,1,SMMR,-1214.0,0.0,75.97,368.36
59,59,1,ATMN,-17.0,0.0,-1.19,1301.52
59,59,1,WNTR,-4095.0,0.0,147.48,2071.22
60,0,2,SPNG,-1185.0,0.0,-255.40,465.61
