tick,second_in_day,day,aggregate_position,gross_limit,net_limit,utilization_pct,net_position,nlv,pnl_estimate
0,0,1,0,50000,30000,0.0000,0,0.00,
5,5,1,0,50000,30000,0.0000,0,0.00,
10,10,1,5256.0,50000,30000,0.1051,1776.0,222.18,
15,15,1,6920.0,50000,30000,0.1384,912.0,208.54,
20,20,1,9131.0,50000,30000,0.1826,1127.0,632.06,
25,25,1,6572.0,50000,30000,0.1314,686.0,1366.69,
30,30,1,8022.0,50000,30000,0.1604,388.0,1318.18,
35,35,1,4469.0,50000,30000,0.0894,907.0,2755.49,
40,40,1,8191.0,50000,30000,0.1638,1981.0,3755.11,
45,45,1,5581.0,50000,30000,0.1116,2429.0,4222.56,
50,50,1,5295.0,50000,30000,0.1059,589.0,4720.05,
55,55,1,5295.0,50000,30000,0.1059,589.0,4015.66,
60,0,2,5295.0,13000,30000,0.4073,589.0,6693.98,
65,5,2,5295.0,50000,30000,0.1059,589.0,6318.62,
70,10,2,4820.0,50000,30000,0.0964,576.0,6281.05,
75,15,2,7597.0,50000,30000,0.1519,4419.0,6615.09,
80,20,2,3603.0,50000,30000,0.0721,2285.0,6880.21,
85,25,2,3164.0,50000,30000,0.0633,1846.0,7710.88,
90,30,2,5004.0,50000,30000,0.1001,216.0,7362.81,
95,35,2,7462.0,50000,30000,0.1492,24.0,8069.50,
100,40,2,6679.0,50000,30000,0.1336,1251.0,7880.65,
105,45,2,6847.0,50000,30000,0.1369,3833.0,9433.89,
110,50,2,3921.0,50000,30000,0.0784,1707.0,9662.60,
115,55,2,3921.0,50000,30000,0.0784,1707.0,9996.23,
120,0,3,3921.0,13000,30000,0.3016,1707.0,9237.41,
125,5,3,3921.0,50000,30000,0.0784,1707.0,9992.09,
130,10,3,6071.0,50000,30000,0.1214,2497.0,9679.25,
135,15,3,6886.0,50000,30000,0.1377,2752.0,10402.75,
140,20,3,7255.0,50000,30000,0.1451,1059.0,10222.58,
145,25,3,5816.0,50000,30000,0.1163,5816.0,10780.59,
150,30,3,5075.0,50000,30000,0.1015,2159.0,11541.33,
155,35,3,3347.0,50000,30000,0.0669,73.0,12174.59,
160,40,3,7426.0,50000,30000,0.1485,142.0,12560.98,
