tick,second_in_day,day,aggregate_position,gross_limit,net_limit,utilization_pct,net_position,nlv,pnl_estimate
5,5,1,0,50000,30000,0.0000,0,0.00,
10,10,1,5267.0,50000,30000,0.1053,967.0,-204.03,
15,15,1,6028.0,50000,30000,0.1206,6028.0,138.72,
20,20,1,6842.0,50000,30000,0.1368,1766.0,-452.50,
25,25,1,6526.0,50000,30000,0.1305,6526.0,984.22,
30,30,1,6754.0,50000,30000,0.1351,6754.0,1734.34,
35,35,1,10317.0,50000,30000,0.2063,10317.0,2697.80,
40,40,1,7910.0,50000,30000,0.1582,7910.0,3269.82,
45,45,1,4182.0,50000,30000,0.0836,2700.0,4109.53,
50,50,1,7315.0,50000,30000,0.1463,5967.0,3935.05,
55,55,1,6915.0,50000,30000,0.1383,5567.0,3408.43,
60,0,2,6915.0,11000,30000,0.6286,5567.0,2512.49,
65,5,2,6915.0,50000,30000,0.1383,5567.0,2776.41,
70,10,2,4454.0,50000,30000,0.0891,3106.0,1906.64,
75,15,2,2905.0,50000,30000,0.0581,1557.0,2356.98,
80,20,2,4322.0,50000,30000,0.0864,4322.0,2647.05,
85,25,2,6370.0,50000,30000,0.1274,1316.0,3370.44,
90,30,2,12315.0,50000,30000,0.2463,10289.0,3338.45,
95,35,2,5369.0,50000,30000,0.1074,4347.0,4489.27,
100,40,2,4467.0,50000,30000,0.0893,3641.0,5625.70,
105,45,2,6455.0,50000,30000,0.1291,3559.0,5849.93,
110,50,2,5975.0,50000,30000,0.1195,2359.0,5772.36,
115,55,2,5075.0,50000,30000,0.1015,3259.0,6610.98,
120,0,3,5075.0,11000,30000,0.4614,3259.0,1823.57,
125,5,3,5075.0,50000,30000,0.1015,3259.0,2901.89,
130,10,3,6377.0,50000,30000,0.1275,2907.0,2393.82,
135,15,3,4935.0,50000,30000,0.0987,197.0,2994.38,
140,20,3,4595.0,50000,30000,0.0919,3061.0,3521.70,
145,25,3,6290.0,50000,30000,0.1258,2302.0,4184.09,
150,30,3,6966.0,50000,30000,0.1393,3790.0,4535.40,
155,35,3,5475.0,50000,30000,0.1095,4679.0,5145.51,
160,40,3,5060.0,50000,30000,0.1012,1064.0,5565.48,
165,45,3,4738.0,50000,30000,0.0948,2818.0,6381.17,
170,50,3,5831.0,50000,30000,0.1166,3911.0,6919.49,
175,55,3,5831.0,50000,30000,0.1166,3911.0,6760.02,
180,0,4,5831.0,11000,30000,0.5301,3911.0,6075.41,
185,5,4,5831.0,50000,30000,0.1166,3911.0,3251.35,
190,10,4,5374.0,50000,30000,0.1075,1620.0,3507.10,
195,15,4,7161.0,50000,30000,0.1432,3987.0,3987.57,
200,20,4,7773.0,50000,30000,0.1555,1153.0,3373.21,
205,25,4,8504.0,50000,30000,0.1701,3340.0,3364.65,
210,30,4,7027.0,50000,30000,0.1405,557.0,4801.97,
215,35,4,10981.0,50000,30000,0.2196,7139.0,4162.15,
220,40,4,11808.0,50000,30000,0.2362,2532.0,4463.65,
225,45,4,11347.0,50000,30000,0.2269,1103.0,4232.52,
230,50,4,12525.0,50000,30000,0.2505,2333.0,3759.84,
235,55,4,10303.0,50000,30000,0.2061,111.0,3476.52,
240,0,5,10303.0,11000,30000,0.9366,111.0,2945.26,
245,5,5,10303.0,50000,30000,0.2061,111.0,-667.25,
250,10,5,6349.0,50000,30000,0.1270,737.0,-866.54,
255,15,5,6230.0,50000,30000,0.1246,272.0,264.12,
260,20,5,5781.0,50000,30000,0.1156,725.0,372.45,
265,25,5,4030.0,50000,30000,0.0806,4030.0,1226.12,
270,30,5,6834.0,50000,30000,0.1367,6834.0,1497.43,
275,35,5,7722.0,50000,30000,0.1544,4802.0,2316.08,
280,40,5,4553.0,50000,30000,0.0911,3693.0,3234.26,
285,45,5,9807.0,50000,30000,0.1961,5639.0,2938.82,
290,50,5,5422.0,50000,30000,0.1084,3894.0,3866.90,
295,55,5,4822.0,50000,30000,0.0964,3294.0,3584.62,
